Type,215023_s_at,215029_at,214976_at,214967_at,214970_s_at,215001_s_at,214982_at,215108_x_at,215107_s_at,215136_s_at,215135_at,215124_at,215071_s_at,215069_at,215067_x_at,215075_s_at,215084_s_at,215078_at,214831_at,214840_at,214822_at,214843_s_at,214845_s_at,214815_at
3.0,0.5148581899298923,0.09850490271147731,0.5342207372278512,0.2699987006799767,0.5474877688902696,0.5543007235039207,0.2561325193111443,0.030355839967283374,0.6075188820683998,0.5698058920986425,0.49743326488706735,0.4160990712074285,0.6760868676127759,0.089607864318894,0.17314260838505144,0.431281668767201,0.3306891139962913,0.39006658928462234,0.4205817954332183,0.616979407952058,0.4650730411686598,0.4130547401139701,0.6376422436513596,0.30013280212483384
3.0,0.005603356702783238,0.1557578966252019,0.7152942444492342,0.3322361297587588,0.7040718593875379,0.9878056875183722,0.4965535350882954,0.05706823557842003,0.3689315719498742,0.7640024272010143,0.5822381930184836,0.6386996904024754,0.7877745286491343,0.4703107558244217,0.16415144885475705,0.7797937189742535,0.3389927236410337,0.7014478587574053,0.6742571160462938,0.05716046496801741,0.6061974324922553,0.28370891613423116,0.6174382189699548,0.36712673117055644
1.0,0.7660532186105811,0.2991725990715257,0.22596464755335074,0.13287712763653606,0.5210064456006837,0.8805128059245774,0.1104400533928537,0.022357921935486913,0.6373398206557098,0.6530670684729775,0.39712525667351434,0.3280701754385956,0.847122817062697,0.10966475820100072,0.8617002277090678,0.16322436276653224,0.24969325153374286,0.20599914472478542,0.4712751537900117,0.40206983020592046,0.28162903939796163,0.33660709146376566,0.7406219962171715,1.0
2.0,0.592083598895263,0.12628912214992974,0.5999676654451394,0.3185499588548659,0.5650384406305818,0.10847817635289526,0.39915534256767077,0.03896022418336196,0.024457582529489905,0.8696061252735713,0.574845995893224,0.7784313725490167,0.6288290867449179,0.45551114471931187,0.3003862124391659,0.48480670799146086,0.7264802396918253,0.5866577066406017,0.4404962986132828,0.05493337866842343,0.6098273572377142,0.635547976745525,0.8710985705869584,0.35550654524758135
3.0,0.7336015508816663,0.2656827698460272,0.8276029316663054,0.45493525055221007,0.7500711863529286,0.55641054817512,0.527123131797195,0.05429615068244873,0.708469350230545,0.262117255626538,0.818993839835733,0.7735810113519066,1.0,0.2581829966511833,0.36267133991159534,0.5803390004886956,0.189798830075618,0.7572240210153337,0.4583046606193302,0.06593705506088363,0.7369632580787979,0.8551559891786102,0.6475582152491398,0.6597894137734774
1.0,0.9302634374336103,0.136308943018285,0.671049795214485,0.4256572393780584,0.7034247107245475,0.2927867702140168,0.4130287314820895,0.05146829878102626,0.6143616870809878,0.1268962507925902,0.756673511293636,0.770072239422082,0.4365465625127809,0.25015303734111105,0.13069830780908123,0.7155379510789888,0.35833927807105226,0.7298552141242589,0.5211969554790954,0.06212465733047152,0.7196104471004893,0.5815561503482416,0.514991783200521,0.4139157655093916
1.0,0.35561397917994525,0.19557902750856496,0.6834985988359554,0.5246221144267831,0.8715798193160934,0.802330763614296,0.7083962449944203,0.07140732685506623,0.5760289666487511,0.7137880017181315,1.0,0.9054695562435496,0.4805171567625048,0.2845414281084589,0.18587310800553622,0.6071503896705163,0.21736338992723675,0.9329830777689514,0.4789281618183718,0.0652527785451685,1.0,0.6147686064582977,0.2792285510526804,0.5178334281919938
2.0,0.3153680688336524,0.10379046760622547,0.524951498167708,0.3099311360388056,0.40798840309595935,0.48875392332565265,0.33534650648810654,0.03395513544411456,0.5813357472207293,0.5940438123419085,0.5374743326488722,0.527244582043341,0.5252597030796287,0.10775629253537859,0.10790507657275532,0.526736798785977,0.3503495505778289,0.47883193842018423,0.3667813575226775,0.05799774741271216,0.5508632138114221,0.20348385425660534,0.21243992434343142,0.30136596471257876
2.0,0.6334183131506275,0.18582173469789584,0.5652080189696055,0.28580709428732193,0.4936708860759487,0.7127983386908656,0.2638132125429444,0.9281163299733711,0.43156629232553523,0.8977166583714574,0.5301848049281308,0.4533539731682139,0.45927058198028703,0.17338230528248869,0.013350002232441564,0.42466112811543505,0.6058924240262519,0.4291648848433014,0.4289020957147321,0.051818007947807984,0.540858787073925,0.6595363495078573,0.6348640352237139,0.23344716372604823
3.0,0.5778229233057153,1.0,0.6168355248976055,0.40339555632552293,0.6478475835468925,0.45903621312547993,0.46469288168231204,0.047450750763310935,1.0,0.0,0.6787474332648887,0.7841073271413805,0.8943703733998605,0.23839616866515465,0.20359869625396246,0.00770081535018901,0.5538878584676852,0.6791496120715973,0.3787092065478056,0.3673544849862932,0.7643204957945998,0.46330512864790213,0.8083160212086447,0.4483731739707834
2.0,0.5621016571064383,0.1272604759633685,0.5917762448803614,0.30486378795097113,0.5493774429862027,0.948174171953081,0.3678417470841809,0.03754978367049134,0.2454866906169557,0.7276694097674393,0.5380903490759764,0.59969040247678,0.6697987812359407,0.22208418854200407,0.19527168817252297,0.0,0.33465544300185496,0.5239171604862843,0.431175059952038,0.03781371528146715,0.5636122177954829,0.5791314108098772,0.6086819013363929,0.3453329538986909
3.0,0.0,0.13332049862829087,0.6289609829704665,0.354541123478712,0.5801558333980485,0.5739576517888468,0.4023939254688282,0.7211370892411505,0.520664196203785,0.6273155565858286,0.6064681724846018,0.6816305469556246,0.934869739478958,0.2284577436894602,0.21159083805866827,0.6422181640474294,0.3252817805678416,0.6127436007086571,0.4420811177145238,0.059595809337611834,0.6397521027003117,0.7873640131238127,0.6381383522991534,0.3719408081957888
3.0,0.5760038240917791,0.1390611121563616,0.6188294891140326,0.40339555632552293,0.6782635707074622,0.46739491176665826,0.46486794021750993,0.05120805275558716,0.46092048315464895,0.9140934472390592,0.740041067761809,0.7782249742002068,0.6293965481984375,0.30985560476756324,0.2291601553779522,0.5566912729236864,0.3570409473534033,0.7205082778422609,0.6823897403816077,0.06221391078904305,0.756263833554669,0.8885627122546478,0.6539208086570959,0.4075128059191812
1.0,0.7926226896112174,0.0685810796028826,0.4347380901056259,0.10294945645112323,0.3121845150267921,0.5551588769095099,0.06334930742467017,0.017499221585548907,0.14118695369296483,0.6051912102596968,0.4798767967145817,0.0,0.7247811950431469,0.0,0.4218198865919542,0.1885645206924045,0.7423312883435593,0.15694300201600547,0.4140756959649668,0.049748177741887535,0.2636564851704275,0.5777787371208195,0.5844469938916624,0.08333333333333369
2.0,0.37561079243679685,0.26959443790555104,0.652619098943736,0.4025293429771753,0.7095596800497007,0.6002427483666642,0.5314120659095387,0.05447506982493812,0.17729908630590355,1.0,0.6495893223819322,0.706191950464397,0.188908429103104,0.339436822584711,0.13376791534580518,0.7656163995987555,0.3511627906976744,0.7421956136599661,0.45371702637889694,0.062230911447818504,0.7178397521027028,0.2336312093478389,0.9477473566711112,0.4450768355150829
2.0,0.5196383046526452,0.013301421589432266,1.0,0.4710035081640613,0.7885635888276256,0.3720403189865259,1.0,0.05942903880918853,0.17302480835054163,0.878176326608532,0.7367556468172517,0.768317853457172,0.6932640791787659,0.440045371070541,0.2067073715229715,0.6069703438874456,0.37078042516764154,0.8858818498381074,0.4700448336982584,0.05982106806638754,0.8744577246569307,0.6171357854141486,0.5431707543952127,0.49418990703851245
2.0,0.45566443594646355,0.42307709136413957,0.5868721707264479,0.3156481441379014,0.5437084206984024,0.598535923913559,0.3344712138121181,0.0341177892100139,0.5803287035727419,0.7308806785254074,0.5733059548254659,0.5611971104231164,0.8639728436464763,0.1573223866623457,0.1956735277046033,0.5597366187401939,0.520331002996148,0.5473761378214901,0.06700031279324369,0.05897953545699889,0.5670650730411698,0.11404909917688406,0.17588911971721785,0.35405995067349677
1.0,0.3483906947100067,0.13569200208272256,0.571459366242725,0.30728918532634514,0.5537003960549812,0.8968935794953486,0.34930742467012377,0.0355514659751558,0.7001555825860654,0.7015906348221526,0.5455852156057495,0.5890608875128989,0.6676056194020693,0.1993086313060388,0.18070500513461635,0.40196507111808455,0.729062633756599,0.5138371311625618,0.3248462099885312,0.0550311324563826,0.5558211598052218,0.0,0.0,0.3141481692278505
2.0,0.5933051837688552,0.08230254608461277,0.775652080189696,1.0,0.888017395356061,0.4464673474999762,0.971224753276877,0.07928441637505175,0.20373681083986306,0.6536670507462276,0.9929158110882994,0.9434468524251769,0.6382867776369066,0.5565517986388682,0.21522971826583892,0.3655443812855271,0.16711371094307378,1.0,0.5009905119382759,0.07042522897762286,0.9911465250110678,0.6906478443561851,0.6107407522247372,0.5714997154240179
3.0,0.6044455066921615,0.1611834764840493,0.6780017245095918,0.49811598596734297,1.0,0.5293478982353333,0.7050044858749639,0.07237395494955406,0.5872846595570139,0.5764056971044034,0.940657084188915,0.870794633642928,0.5424215778495762,0.5016744085556881,0.22401437692548087,0.5729416908871111,0.37316307604508586,0.9124564726006467,0.38227504952559654,0.20183182098306307,0.970429393536966,0.5398319230990617,0.6075098446559797,0.5184262948207178
3.0,0.3685734013171877,0.3076522553347888,0.6251886182366893,0.39650916020615784,0.6693588051047082,0.7741017836315538,0.44025033370533245,0.047875974179876525,0.5638312919012192,0.4810221516182479,0.6260780287474363,0.8076367389060847,0.7334464848063474,0.2462100752583634,0.0935281510916641,0.4077316803415725,0.1732201455271794,0.8558250351273748,0.5285371702637893,0.058690524257814916,0.6479858344400184,0.7251554135727853,0.5957520697032651,0.37922121039650897
