Type,203608_at,205417_s_at,218716_x_at,218792_s_at,222037_at,220202_s_at,212915_at,209092_s_at,218595_s_at,62987_r_at,201965_s_at
3.0,0.43531324058707427,0.2228961022153725,0.3315063381185062,0.5353448332555131,0.20599240961448825,0.5796701322092516,0.6611819949421139,0.5245979954711787,0.41211069759632846,0.20626665109910516,0.4429944468175991
3.0,0.20794148380355282,0.2750391190277305,0.28720947860666385,0.0,0.24797922631333644,0.8797982403105036,0.6584084179491416,0.7892282850673117,0.6203262724906955,0.22054281256302177,0.4833190944041006
1.0,0.5897309812117114,0.5370542489734933,0.43670044664202207,0.454317074293531,0.28645715427125623,0.5250952354779107,0.9053234886705892,0.7026551885575614,0.44072529871002,0.20981180941059097,0.6108821016659546
2.0,0.30664317276893344,0.5095944562749273,1.0,0.5527262444182857,0.2967973899727011,0.830770466643272,1.0,0.7488510744006953,0.9861208271539297,0.20536444015157113,0.41980991029474596
3.0,0.4132740522192855,0.21850771203689562,0.24663269233011856,0.4357716412708227,0.2670883547506493,0.29730381068751344,0.6978802628067458,0.21728786677240183,0.285116266054789,0.2071582478001971,0.5096005980350276
1.0,0.6916835699797161,0.8097815217007663,0.4233886485288801,0.6679315265784993,0.3116319328850124,0.9162604272806836,0.9390766180787656,0.4261869046367865,0.7167361558049077,0.3426597178733294,0.5655702691157624
1.0,0.563225220426032,0.7195430426956253,0.2607782999615164,0.6073892370724523,0.27551101937545774,0.7238615079549636,0.8359522932048955,0.4320533521874971,0.5689621400789094,0.20981180941059097,0.5181546347714651
2.0,0.565130684806141,0.6325752673623779,0.5538244451959743,1.0,0.2944137425927158,0.13479678165390507,0.5006099963146055,0.629190831525945,0.38028373954165123,0.21563903070701504,0.417054677488253
2.0,0.46095163945062534,0.40663788133698825,0.6200277547783701,0.48504856667477786,0.2920833610759705,0.5678275318261956,0.4993296394667614,0.8754287570583692,0.8850714945294789,0.09435003661914992,0.4722874839812047
3.0,0.44141892214914524,0.0,0.0,0.6331950098317105,0.45709434716026365,0.4534815384810523,0.7950857171904585,0.0,0.05009933682178099,0.24340589939817228,0.48442973088423746
2.0,0.5888192267502612,0.2699624692636211,0.716364823733834,0.7117697735747315,0.8625008322791128,0.5392590024480062,0.49631778266339627,0.6999799356028396,0.6343733385566775,0.35019583284684674,0.4809696710807348
3.0,0.14628366149664318,0.135804793110345,0.22536763419668596,0.4004892837648545,0.2985152140621878,0.5140263572905349,0.822742060516718,0.7445993330976575,0.34832246691104446,0.21827136382452517,0.47591841093549736
3.0,0.20159335068057177,0.38229584573573167,0.44051964408578353,0.36887655449529516,0.3379985351887607,0.4957910358153044,0.7146678697149539,0.48514756886387705,0.6126199736967284,0.20801800176196455,0.5292930371636051
1.0,0.8888581555924354,0.6601703589538461,0.6106809250037903,0.37510440026568653,0.4884013582795125,1.0,0.6334208084992822,0.5696664532833963,0.6598875115426583,0.0,1.0
2.0,0.49494608013877794,0.46606350812381614,0.9155869902391812,0.8475591711112135,0.3761901591317663,0.8284746679970743,0.9063274409383775,0.7248215701823947,1.0,0.20260473607676224,0.4256193934216145
2.0,0.21068016199862036,0.20616609997999963,0.6470711711816775,0.7164587429879199,0.28420001331646566,0.6015880330967068,0.7927156273430847,0.7572781212080677,0.7000083946609953,0.22613652043773155,0.4991456642460488
2.0,0.5022640195053989,0.47636975422662037,0.6031299926531473,0.9706495505034232,0.29563885744723345,0.1423183761135467,0.9558546937945585,0.30961275713480424,0.5279066513697284,0.14697547047647344,0.4181119179837675
1.0,0.5067169326804215,0.4651046507523792,0.38860771302958586,0.7955925002794969,1.0,0.10860861072471972,0.829093011729721,0.6176012535470995,0.30394828888826675,0.18911402884952158,0.0
2.0,0.0,0.1352753626598587,0.28413662814427837,0.3613728881552557,0.30085225381183817,0.4595191084014394,0.3905469633620963,0.3004022433906912,0.34997341690684725,0.2164457134365743,0.23965185818026463
3.0,0.38105189829327757,0.5732496441050858,0.25648097398281067,0.6091319816650118,0.2870630534656102,0.3513290687006116,0.8230311733533278,0.24165177761004358,0.3500741528387942,0.3370872384915034,0.5126014523707818
3.0,0.26024955436720143,0.3543478005106066,0.6179344847290412,0.4830493426893515,0.2607696917238166,0.4774331026260045,0.6339386699538688,0.5599782157973682,0.6006323977950019,0.21599991508602856,0.4918838103374626
1.0,0.5709051297286591,0.6227866865889385,0.32484169280824754,0.8188795138729051,0.37100339569878144,0.5742456208592124,0.7638933014779703,0.5547901359601777,0.408282732182332,0.15940475305955634,0.49420119607005547
2.0,0.4605145436788438,0.508247349906468,0.35410665764830757,0.539573455040478,0.29081829682402294,0.4470211695466328,0.4893314186226791,0.4430314437766931,0.46985477236477574,0.3030579643998175,0.477071764203332
2.0,0.640891675374434,0.6906126098568183,0.23954239600704375,0.9289091734129525,0.26409880817631004,0.6647838017241744,0.774504695700797,0.65135721315078,0.4284579007751067,0.20501417001899927,0.4943293464331481
1.0,0.46748758716304356,0.461516288810193,0.3772200907278048,0.5629262325807752,0.3516212797123644,0.5548264621446903,0.8124960286698267,0.5940303641210364,0.6022721549094772,0.21590438686805424,0.4908052114480991
3.0,0.634297675879826,0.3934138851959481,0.30442793670044666,0.6003524947553255,0.034656102270457366,0.17474706048985503,0.6919613923165883,0.22501743691657985,0.3425917116713766,0.14341969791854597,0.4429196924391283
1.0,0.5421524234911658,0.6138628422179611,0.4675922146680508,0.7110924049217744,0.423117384646115,0.5816488315949249,0.9580913469481124,0.5908200605753701,0.6832302655511091,0.21341003895428406,0.4803823152498932
1.0,0.7084878535182794,0.4880172241373231,0.386182085340113,0.770069512491862,0.670763699314202,0.7361945551942973,0.9380567804902846,0.7022539006143531,0.7496544197890137,0.18805260420536432,0.5148120461341306
1.0,0.24027632648322306,0.5715319364212854,0.3809051789483507,0.5532655087827753,0.26568346760769695,0.8762171326616466,0.8266816200485457,0.5716537840497602,0.6338920446595965,0.20981180941059097,0.5186992738146088
3.0,0.4608730988041333,0.6227102133016458,0.2773028885960513,0.7645979521106945,0.4535921166522403,0.4568850705440155,0.6702525130577334,0.34062658245989563,0.3463469233567447,0.20282763525203534,0.4674818453652284
3.0,0.571932987754489,0.5498841135569493,0.3960536903359728,0.23774982079324514,0.2684732671948865,0.9012552902726634,0.3634751998373343,0.5683097178563578,0.8429023141282139,0.1959814462972201,0.4683041435284067
1.0,0.7702276312823981,0.570655434897703,0.5648155706638992,0.6360162831532502,0.46119581862973563,0.5964594810564903,0.9343904484743739,0.8026427677402712,0.5073229426085009,0.1827454809845775,0.4614480991029472
2.0,0.45612651190744496,0.3959727990399664,0.4373360077433501,0.5383568220230308,0.0,0.4613075482307976,0.5360533238445017,0.28064358942510764,0.08256988555278805,0.8095910330846064,0.4611277231952157
3.0,0.2759747577191797,0.35520077179194604,0.4598313722288952,0.36403632800426194,0.1637392635994406,0.5059043882309667,0.6911734804102226,0.21447885116994553,0.3385902565968044,0.21758143780582306,0.44210807347287495
1.0,0.8100579834859756,0.5183594715107596,0.5124721577590936,0.5599602785760792,0.3085225381183835,0.5905994867219969,0.6511424722642298,0.5707556634149609,0.4114335282760164,0.20365554647447787,0.560348141819735
1.0,0.664484602618477,0.575485017118251,0.3549404671665639,0.5520949105281509,0.34825221386244076,0.7160270422249376,0.3332136639174471,0.8145285344391044,0.5709992444805104,0.18578115546686724,0.8842588637334473
2.0,0.4075200961610698,0.28656305516665304,0.5175274923907595,0.2072419258314207,0.34749983354417735,0.88065229431885,0.2764617672101563,0.8633805642872845,0.4879368721493127,0.20796493052975681,0.4849957283212301
1.0,0.8579028964424504,0.6389813758132643,0.23493020489556993,0.8268172222624116,0.2837206205473067,0.6896908916408407,0.7797277891446073,0.3735513027526441,0.4841424853792984,0.20981180941059097,0.6564929517300298
3.0,0.39379938669999515,0.0938503711895718,0.1983067252860028,0.066579419830461,0.19696384579532583,0.0,0.0,0.29696263244890786,0.0,1.0,0.4641926527125157
2.0,0.5235007273546827,0.5798322293728017,0.5477370526291238,0.4957943955964467,0.26092948931353616,0.6468994034305913,0.4543932442908158,0.6688036842054982,0.7894730951115088,0.20730684725037915,0.21840025630072618
2.0,0.6624493754311199,0.30388719601868297,0.660353815115859,0.5196338263437225,0.5952992875690791,0.7069537753837958,0.8858544396294272,0.4305532996378846,0.07349245879620542,0.2122424718457113,0.4932187099530112
3.0,0.45986914445332294,0.37230137534265906,0.5504542221081972,0.39046685825896565,0.4624808575803979,0.464106477703694,0.5446536364676129,0.5510256728738911,0.7531801774071688,0.15629477885217508,0.7428769756514311
2.0,0.45287902691553805,0.7746567525912679,0.9867523410805707,0.5764209944824051,0.7353219255609561,0.6527974496763476,0.6711611534013647,0.6167700142361674,0.8271539301004559,0.20981180941059097,0.44171294318667226
3.0,0.7760191502585013,0.7182194665694089,0.6489603619782861,0.38731018880829166,0.13262534123443648,0.7529965880119568,0.7070079680768596,0.7260063250623436,0.8626409603492178,0.1947289652171142,0.43851986330627923
1.0,0.9146775394239898,0.5656199630575198,0.18115240638593166,0.5310767531024144,0.3577601704507624,0.7328755829341408,0.9358233044008692,0.4720006114863897,0.7028234043148557,0.20479127084372617,0.48504912430585195
