Method,Dataset,Feature Selection method,Classification method,No. genes,No. selected genes,Train set,Test set,Accuracy,Precision,Sensitivity,F-measure
Filter approach,df_normalized_lung_cancer,Chi2,SVM,12601,100,157,40,0.95,0.9550000000000001,0.95,0.9496031746031747
Filter approach,df_normalized_lung_cancer,Chi2,kNN,12601,100,157,40,0.95,0.9550000000000001,0.95,0.9496031746031747
Filter approach,df_normalized_lung_cancer,Chi2,Random Forest,12601,100,157,40,0.9,0.8966666666666667,0.9,0.8960317460317461
Filter approach,df_normalized_lung_cancer,ANOVA,Naive Bayes,12601,100,157,40,0.95,0.9550000000000001,0.95,0.9496031746031747
Filter approach,df_normalized_lung_cancer,ANOVA,SVM,12601,100,157,40,0.95,0.9550000000000001,0.95,0.9496031746031747
Filter approach,df_normalized_lung_cancer,ANOVA,kNN,12601,100,157,40,0.95,0.9550000000000001,0.95,0.9496031746031747
Filter approach,df_normalized_lung_cancer,ANOVA,Random Forest,12601,100,157,40,0.9,0.8966666666666667,0.9,0.8960317460317461
Filter approach,df_normalized_lung_cancer,Mutal Information,Naive Bayes,12601,50,157,40,0.95,0.9550000000000001,0.95,0.9496031746031747
Filter approach,df_normalized_lung_cancer,Mutal Information,SVM,12601,50,157,40,0.95,0.9550000000000001,0.95,0.9496031746031747
Filter approach,df_normalized_lung_cancer,Mutal Information,kNN,12601,50,157,40,0.925,0.9290740740740742,0.925,0.9257070707070707
Filter approach,df_normalized_lung_cancer,Mutal Information,Random Forest,12601,50,157,40,0.9,0.8966666666666667,0.9,0.8960317460317461
Filter approach,df_normalized_lung_cancer,Chi2,Naive Bayes,12601,50,157,40,0.95,0.9550000000000001,0.95,0.9496031746031747
Filter approach,df_normalized_lung_cancer,Chi2,SVM,12601,50,157,40,0.95,0.9550000000000001,0.95,0.9496031746031747
Filter approach,df_normalized_lung_cancer,Chi2,kNN,12601,50,157,40,0.925,0.9290740740740742,0.925,0.9257070707070707
Filter approach,df_normalized_lung_cancer,Chi2,Random Forest,12601,50,157,40,0.9,0.8966666666666667,0.9,0.8960317460317461
Filter approach,df_normalized_lung_cancer,ANOVA,Naive Bayes,12601,50,157,40,0.95,0.9550000000000001,0.95,0.9496031746031747
Filter approach,df_normalized_lung_cancer,ANOVA,SVM,12601,50,157,40,0.95,0.9550000000000001,0.95,0.9496031746031747
Filter approach,df_normalized_lung_cancer,ANOVA,kNN,12601,50,157,40,0.925,0.9290740740740742,0.925,0.9257070707070707
Filter approach,df_normalized_lung_cancer,ANOVA,Random Forest,12601,50,157,40,0.9,0.8966666666666667,0.9,0.8960317460317461
Filter approach,df_normalized_lung_cancer,Mutal Information,Naive Bayes,12601,20,157,40,0.9,0.913076923076923,0.9,0.9037037037037038
Filter approach,df_normalized_lung_cancer,Mutal Information,SVM,12601,20,157,40,0.85,0.765625,0.85,0.8049999999999999
Filter approach,df_normalized_lung_cancer,Mutal Information,kNN,12601,20,157,40,0.9,0.8966666666666667,0.9,0.8960317460317461
Filter approach,df_normalized_lung_cancer,Mutal Information,Random Forest,12601,20,157,40,0.875,0.8781481481481481,0.875,0.8752525252525253
Filter approach,df_normalized_lung_cancer,Chi2,Naive Bayes,12601,20,157,40,0.9,0.913076923076923,0.9,0.9037037037037038
Filter approach,df_normalized_lung_cancer,Chi2,SVM,12601,20,157,40,0.85,0.765625,0.85,0.8049999999999999
Filter approach,df_normalized_lung_cancer,Chi2,kNN,12601,20,157,40,0.9,0.8966666666666667,0.9,0.8960317460317461
Filter approach,df_normalized_lung_cancer,Chi2,Random Forest,12601,20,157,40,0.875,0.8781481481481481,0.875,0.8752525252525253
Filter approach,df_normalized_lung_cancer,ANOVA,Naive Bayes,12601,20,157,40,0.9,0.913076923076923,0.9,0.9037037037037038
Filter approach,df_normalized_lung_cancer,ANOVA,SVM,12601,20,157,40,0.85,0.765625,0.85,0.8049999999999999
Filter approach,df_normalized_lung_cancer,ANOVA,kNN,12601,20,157,40,0.9,0.8966666666666667,0.9,0.8960317460317461
Filter approach,df_normalized_lung_cancer,ANOVA,Random Forest,12601,20,157,40,0.875,0.8781481481481481,0.875,0.8752525252525253
Filter approach,df_normalized_lung_cancer,Mutal Information,Naive Bayes,12601,10,157,40,0.875,0.93,0.875,0.8869281045751635
Filter approach,df_normalized_lung_cancer,Mutal Information,SVM,12601,10,157,40,0.825,0.76,0.825,0.7746031746031746
Filter approach,df_normalized_lung_cancer,Mutal Information,kNN,12601,10,157,40,0.925,0.9317241379310344,0.925,0.9187134502923977
Filter approach,df_normalized_lung_cancer,Mutal Information,Random Forest,12601,10,157,40,0.85,0.8699633699633701,0.85,0.8520923520923521
Filter approach,df_normalized_lung_cancer,Chi2,Naive Bayes,12601,10,157,40,0.875,0.93,0.875,0.8869281045751635
Filter approach,df_normalized_lung_cancer,Chi2,SVM,12601,10,157,40,0.825,0.76,0.825,0.7746031746031746
Filter approach,df_normalized_lung_cancer,Chi2,kNN,12601,10,157,40,0.925,0.9317241379310344,0.925,0.9187134502923977
Filter approach,df_normalized_lung_cancer,Chi2,Random Forest,12601,10,157,40,0.875,0.8814814814814816,0.875,0.8735064935064933
Filter approach,df_normalized_lung_cancer,ANOVA,Naive Bayes,12601,10,157,40,0.875,0.93,0.875,0.8869281045751635
Filter approach,df_normalized_lung_cancer,ANOVA,SVM,12601,10,157,40,0.825,0.76,0.825,0.7746031746031746
Filter approach,df_normalized_lung_cancer,ANOVA,kNN,12601,10,157,40,0.925,0.9317241379310344,0.925,0.9187134502923977
Filter approach,df_normalized_lung_cancer,ANOVA,Random Forest,12601,10,157,40,0.875,0.8814814814814816,0.875,0.8735064935064933
Filter approach,df_normalized_NablonekPlaski,Mutal Information,Naive Bayes,14001,1000,60,16,0.5,0.6171875,0.5,0.5103021978021978
Filter approach,df_normalized_NablonekPlaski,Mutal Information,SVM,14001,1000,60,16,0.5625,0.5513392857142857,0.5625,0.5550213675213675
Filter approach,df_normalized_NablonekPlaski,Mutal Information,kNN,14001,1000,60,16,0.6875,0.69375,0.6875,0.6875
Filter approach,df_normalized_NablonekPlaski,Mutal Information,Random Forest,14001,1000,60,16,0.5625,0.47916666666666663,0.5625,0.5125
Filter approach,df_normalized_NablonekPlaski,Chi2,Naive Bayes,14001,1000,60,16,0.5,0.6171875,0.5,0.5103021978021978
Filter approach,df_normalized_NablonekPlaski,Chi2,SVM,14001,1000,60,16,0.5625,0.5513392857142857,0.5625,0.5550213675213675
Filter approach,df_normalized_NablonekPlaski,Chi2,kNN,14001,1000,60,16,0.6875,0.69375,0.6875,0.6875
Filter approach,df_normalized_NablonekPlaski,Chi2,Random Forest,14001,1000,60,16,0.5625,0.47916666666666663,0.5625,0.5125
Filter approach,df_normalized_NablonekPlaski,ANOVA,Naive Bayes,14001,1000,60,16,0.5,0.6171875,0.5,0.5103021978021978
Filter approach,df_normalized_NablonekPlaski,ANOVA,SVM,14001,1000,60,16,0.5625,0.5513392857142857,0.5625,0.5550213675213675
Filter approach,df_normalized_NablonekPlaski,ANOVA,kNN,14001,1000,60,16,0.6875,0.69375,0.6875,0.6875
Filter approach,df_normalized_NablonekPlaski,ANOVA,Random Forest,14001,1000,60,16,0.625,0.6041666666666666,0.625,0.6049107142857143
Filter approach,df_normalized_NablonekPlaski,Mutal Information,Naive Bayes,14001,500,60,16,0.625,0.7083333333333333,0.625,0.6201298701298701
Filter approach,df_normalized_NablonekPlaski,Mutal Information,SVM,14001,500,60,16,0.5625,0.5833333333333333,0.5625,0.5559027777777779
Filter approach,df_normalized_NablonekPlaski,Mutal Information,kNN,14001,500,60,16,0.5625,0.5520833333333334,0.5625,0.5477272727272727
Filter approach,df_normalized_NablonekPlaski,Mutal Information,Random Forest,14001,500,60,16,0.5,0.53125,0.5,0.5079365079365079
Filter approach,df_normalized_NablonekPlaski,Chi2,Naive Bayes,14001,500,60,16,0.625,0.7083333333333333,0.625,0.6201298701298701
Filter approach,df_normalized_NablonekPlaski,Chi2,SVM,14001,500,60,16,0.5625,0.5833333333333333,0.5625,0.5559027777777779
Filter approach,df_normalized_NablonekPlaski,Chi2,kNN,14001,500,60,16,0.5625,0.5520833333333334,0.5625,0.5477272727272727
Filter approach,df_normalized_NablonekPlaski,Chi2,Random Forest,14001,500,60,16,0.625,0.6041666666666666,0.625,0.6049107142857143
Filter approach,df_normalized_NablonekPlaski,ANOVA,Naive Bayes,14001,500,60,16,0.625,0.7083333333333333,0.625,0.6201298701298701
Filter approach,df_normalized_NablonekPlaski,ANOVA,SVM,14001,500,60,16,0.5625,0.5833333333333333,0.5625,0.5559027777777779
Filter approach,df_normalized_NablonekPlaski,ANOVA,kNN,14001,500,60,16,0.5625,0.5520833333333334,0.5625,0.5477272727272727
Filter approach,df_normalized_NablonekPlaski,ANOVA,Random Forest,14001,500,60,16,0.6875,0.6830357142857143,0.6875,0.6821581196581197
Filter approach,df_normalized_NablonekPlaski,Mutal Information,Naive Bayes,14001,200,60,16,0.5,0.5364583333333333,0.5,0.5044642857142857
Filter approach,df_normalized_NablonekPlaski,Mutal Information,SVM,14001,200,60,16,0.5625,0.5416666666666666,0.5625,0.5424107142857144
Filter approach,df_normalized_NablonekPlaski,Mutal Information,kNN,14001,200,60,16,0.625,0.6443452380952381,0.625,0.6070075757575757
Filter approach,df_normalized_NablonekPlaski,Mutal Information,Random Forest,14001,200,60,16,0.625,0.6041666666666666,0.625,0.6049107142857143
Filter approach,df_normalized_NablonekPlaski,Chi2,Naive Bayes,14001,200,60,16,0.5,0.5364583333333333,0.5,0.5044642857142857
Filter approach,df_normalized_NablonekPlaski,Chi2,SVM,14001,200,60,16,0.5625,0.5416666666666666,0.5625,0.5424107142857144
Filter approach,df_normalized_NablonekPlaski,Chi2,kNN,14001,200,60,16,0.625,0.6443452380952381,0.625,0.6070075757575757
Filter approach,df_normalized_NablonekPlaski,Chi2,Random Forest,14001,200,60,16,0.6875,0.6830357142857143,0.6875,0.6821581196581197
Filter approach,df_normalized_NablonekPlaski,ANOVA,Naive Bayes,14001,200,60,16,0.5,0.5364583333333333,0.5,0.5044642857142857
Filter approach,df_normalized_NablonekPlaski,ANOVA,SVM,14001,200,60,16,0.5625,0.5416666666666666,0.5625,0.5424107142857144
Filter approach,df_normalized_NablonekPlaski,ANOVA,kNN,14001,200,60,16,0.625,0.6443452380952381,0.625,0.6070075757575757
Filter approach,df_normalized_NablonekPlaski,ANOVA,Random Forest,14001,200,60,16,0.6875,0.7291666666666667,0.6875,0.6840277777777778
Filter approach,df_normalized_NablonekPlaski,Mutal Information,Naive Bayes,14001,100,60,16,0.4375,0.59375,0.4375,0.4246212121212121
Filter approach,df_normalized_NablonekPlaski,Mutal Information,SVM,14001,100,60,16,0.625,0.6041666666666667,0.625,0.5876623376623377
Filter approach,df_normalized_NablonekPlaski,Mutal Information,kNN,14001,100,60,16,0.5625,0.5357142857142857,0.5625,0.5354166666666667
Filter approach,df_normalized_NablonekPlaski,Mutal Information,Random Forest,14001,100,60,16,0.4375,0.375,0.4375,0.4000000000000001
Filter approach,df_normalized_NablonekPlaski,Chi2,Naive Bayes,14001,100,60,16,0.4375,0.59375,0.4375,0.4246212121212121
Filter approach,df_normalized_NablonekPlaski,Chi2,SVM,14001,100,60,16,0.625,0.6041666666666667,0.625,0.5876623376623377
Filter approach,df_normalized_NablonekPlaski,Chi2,kNN,14001,100,60,16,0.5625,0.5357142857142857,0.5625,0.5354166666666667
Filter approach,df_normalized_NablonekPlaski,Chi2,Random Forest,14001,100,60,16,0.5625,0.42708333333333337,0.5625,0.48409090909090907
Filter approach,df_normalized_NablonekPlaski,ANOVA,Naive Bayes,14001,100,60,16,0.4375,0.59375,0.4375,0.4246212121212121
Filter approach,df_normalized_NablonekPlaski,ANOVA,SVM,14001,100,60,16,0.625,0.6041666666666667,0.625,0.5876623376623377
Filter approach,df_normalized_NablonekPlaski,ANOVA,kNN,14001,100,60,16,0.5625,0.5357142857142857,0.5625,0.5354166666666667
Filter approach,df_normalized_NablonekPlaski,ANOVA,Random Forest,14001,100,60,16,0.4375,0.3333333333333333,0.4375,0.37727272727272726
Filter approach,df_normalized_NablonekPlaski,Mutal Information,Naive Bayes,14001,50,60,16,0.625,0.6953125,0.625,0.606456043956044
Filter approach,df_normalized_NablonekPlaski,Mutal Information,SVM,14001,50,60,16,0.5625,0.5513392857142857,0.5625,0.5550213675213675
Filter approach,df_normalized_NablonekPlaski,Mutal Information,kNN,14001,50,60,16,0.5,0.4211309523809524,0.5,0.45716783216783213
Filter approach,df_normalized_NablonekPlaski,Mutal Information,Random Forest,14001,50,60,16,0.5,0.4,0.5,0.43750000000000006
Filter approach,df_normalized_NablonekPlaski,Chi2,Naive Bayes,14001,50,60,16,0.625,0.6953125,0.625,0.606456043956044
Filter approach,df_normalized_NablonekPlaski,Chi2,SVM,14001,50,60,16,0.5625,0.5513392857142857,0.5625,0.5550213675213675
Filter approach,df_normalized_NablonekPlaski,Chi2,kNN,14001,50,60,16,0.5,0.4211309523809524,0.5,0.45716783216783213
Filter approach,df_normalized_NablonekPlaski,Chi2,Random Forest,14001,50,60,16,0.5,0.4,0.5,0.43750000000000006
Filter approach,df_normalized_NablonekPlaski,ANOVA,Naive Bayes,14001,50,60,16,0.625,0.6953125,0.625,0.606456043956044
Filter approach,df_normalized_NablonekPlaski,ANOVA,SVM,14001,50,60,16,0.5625,0.5513392857142857,0.5625,0.5550213675213675
Filter approach,df_normalized_NablonekPlaski,ANOVA,kNN,14001,50,60,16,0.5,0.4211309523809524,0.5,0.45716783216783213
Filter approach,df_normalized_NablonekPlaski,ANOVA,Random Forest,14001,50,60,16,0.5625,0.47916666666666663,0.5625,0.5125
Filter approach,df_normalized_NablonekPlaski,Mutal Information,Naive Bayes,14001,20,60,16,0.625,0.625,0.625,0.625
Filter approach,df_normalized_NablonekPlaski,Mutal Information,SVM,14001,20,60,16,0.625,0.625,0.625,0.625
Filter approach,df_normalized_NablonekPlaski,Mutal Information,kNN,14001,20,60,16,0.375,0.24861111111111112,0.375,0.29139610389610393
Filter approach,df_normalized_NablonekPlaski,Mutal Information,Random Forest,14001,20,60,16,0.5625,0.47916666666666663,0.5625,0.5125
Filter approach,df_normalized_NablonekPlaski,Chi2,Naive Bayes,14001,20,60,16,0.625,0.625,0.625,0.625
Filter approach,df_normalized_NablonekPlaski,Chi2,SVM,14001,20,60,16,0.625,0.625,0.625,0.625
Filter approach,df_normalized_NablonekPlaski,Chi2,kNN,14001,20,60,16,0.375,0.24861111111111112,0.375,0.29139610389610393
Filter approach,df_normalized_NablonekPlaski,Chi2,Random Forest,14001,20,60,16,0.5,0.4010416666666667,0.5,0.44480519480519476
Filter approach,df_normalized_NablonekPlaski,ANOVA,Naive Bayes,14001,20,60,16,0.625,0.625,0.625,0.625
Filter approach,df_normalized_NablonekPlaski,ANOVA,SVM,14001,20,60,16,0.625,0.625,0.625,0.625
Filter approach,df_normalized_NablonekPlaski,ANOVA,kNN,14001,20,60,16,0.375,0.24861111111111112,0.375,0.29139610389610393
Filter approach,df_normalized_NablonekPlaski,ANOVA,Random Forest,14001,20,60,16,0.4375,0.375,0.4375,0.4000000000000001
Filter approach,df_normalized_NablonekPlaski,Mutal Information,Naive Bayes,14001,10,60,16,0.6875,0.69375,0.6875,0.6875
Filter approach,df_normalized_NablonekPlaski,Mutal Information,SVM,14001,10,60,16,0.5625,0.5252976190476191,0.5625,0.5352928321678321
Filter approach,df_normalized_NablonekPlaski,Mutal Information,kNN,14001,10,60,16,0.6875,0.69375,0.6875,0.6875
Filter approach,df_normalized_NablonekPlaski,Mutal Information,Random Forest,14001,10,60,16,0.5625,0.5513392857142857,0.5625,0.5550213675213675
Filter approach,df_normalized_NablonekPlaski,Chi2,Naive Bayes,14001,10,60,16,0.6875,0.69375,0.6875,0.6875
Filter approach,df_normalized_NablonekPlaski,Chi2,SVM,14001,10,60,16,0.5625,0.5252976190476191,0.5625,0.5352928321678321
Filter approach,df_normalized_NablonekPlaski,Chi2,kNN,14001,10,60,16,0.6875,0.69375,0.6875,0.6875
Filter approach,df_normalized_NablonekPlaski,Chi2,Random Forest,14001,10,60,16,0.4375,0.3979166666666667,0.4375,0.41477272727272724
Filter approach,df_normalized_NablonekPlaski,ANOVA,Naive Bayes,14001,10,60,16,0.6875,0.69375,0.6875,0.6875
Filter approach,df_normalized_NablonekPlaski,ANOVA,SVM,14001,10,60,16,0.5625,0.5252976190476191,0.5625,0.5352928321678321
Filter approach,df_normalized_NablonekPlaski,ANOVA,kNN,14001,10,60,16,0.6875,0.69375,0.6875,0.6875
Filter approach,df_normalized_NablonekPlaski,ANOVA,Random Forest,14001,10,60,16,0.5,0.4635416666666667,0.5,0.4785353535353535
Filter approach,df_normalized_GLA_BRA_180,Mutal Information,Naive Bayes,49152,1000,144,36,0.8055555555555556,0.8322723028605381,0.8055555555555556,0.7777176527176528
Filter approach,df_normalized_GLA_BRA_180,Mutal Information,SVM,49152,1000,144,36,0.6944444444444444,0.6186507936507937,0.6944444444444444,0.6466049382716048
Filter approach,df_normalized_GLA_BRA_180,Mutal Information,kNN,49152,1000,144,36,0.8055555555555556,0.8492063492063492,0.8055555555555556,0.7986111111111112
Filter approach,df_normalized_GLA_BRA_180,Mutal Information,Random Forest,49152,1000,144,36,0.75,0.6445279866332498,0.75,0.691137566137566
Filter approach,df_normalized_GLA_BRA_180,Chi2,Naive Bayes,49152,1000,144,36,0.8055555555555556,0.8322723028605381,0.8055555555555556,0.7777176527176528
Filter approach,df_normalized_GLA_BRA_180,Chi2,SVM,49152,1000,144,36,0.6944444444444444,0.6186507936507937,0.6944444444444444,0.6466049382716048
Filter approach,df_normalized_GLA_BRA_180,Chi2,kNN,49152,1000,144,36,0.8055555555555556,0.8492063492063492,0.8055555555555556,0.7986111111111112
Filter approach,df_normalized_GLA_BRA_180,Chi2,Random Forest,49152,1000,144,36,0.75,0.6445279866332498,0.75,0.691137566137566
Filter approach,df_normalized_GLA_BRA_180,ANOVA,Naive Bayes,49152,1000,144,36,0.8055555555555556,0.8322723028605381,0.8055555555555556,0.7777176527176528
Filter approach,df_normalized_GLA_BRA_180,ANOVA,SVM,49152,1000,144,36,0.6944444444444444,0.6186507936507937,0.6944444444444444,0.6466049382716048
Filter approach,df_normalized_GLA_BRA_180,ANOVA,kNN,49152,1000,144,36,0.8055555555555556,0.8492063492063492,0.8055555555555556,0.7986111111111112
Filter approach,df_normalized_GLA_BRA_180,ANOVA,Random Forest,49152,1000,144,36,0.7222222222222222,0.625,0.7222222222222222,0.6612862862862863
Filter approach,df_normalized_GLA_BRA_180,Mutal Information,Naive Bayes,49152,500,144,36,0.8055555555555556,0.8322723028605381,0.8055555555555556,0.7777176527176528
Filter approach,df_normalized_GLA_BRA_180,Mutal Information,SVM,49152,500,144,36,0.6944444444444444,0.5933583959899749,0.6944444444444444,0.637962962962963
Filter approach,df_normalized_GLA_BRA_180,Mutal Information,kNN,49152,500,144,36,0.8611111111111112,0.8802521008403361,0.8611111111111112,0.8596504258268963
Filter approach,df_normalized_GLA_BRA_180,Mutal Information,Random Forest,49152,500,144,36,0.75,0.6640211640211641,0.75,0.7023420479302831
Filter approach,df_normalized_GLA_BRA_180,Chi2,Naive Bayes,49152,500,144,36,0.8055555555555556,0.8322723028605381,0.8055555555555556,0.7777176527176528
Filter approach,df_normalized_GLA_BRA_180,Chi2,SVM,49152,500,144,36,0.6944444444444444,0.5933583959899749,0.6944444444444444,0.637962962962963
Filter approach,df_normalized_GLA_BRA_180,Chi2,kNN,49152,500,144,36,0.8611111111111112,0.8802521008403361,0.8611111111111112,0.8596504258268963
Filter approach,df_normalized_GLA_BRA_180,Chi2,Random Forest,49152,500,144,36,0.75,0.6485890652557319,0.75,0.6907894736842104
Filter approach,df_normalized_GLA_BRA_180,ANOVA,Naive Bayes,49152,500,144,36,0.8055555555555556,0.8322723028605381,0.8055555555555556,0.7777176527176528
Filter approach,df_normalized_GLA_BRA_180,ANOVA,SVM,49152,500,144,36,0.6944444444444444,0.5933583959899749,0.6944444444444444,0.637962962962963
Filter approach,df_normalized_GLA_BRA_180,ANOVA,kNN,49152,500,144,36,0.8611111111111112,0.8802521008403361,0.8611111111111112,0.8596504258268963
Filter approach,df_normalized_GLA_BRA_180,ANOVA,Random Forest,49152,500,144,36,0.75,0.6445279866332498,0.75,0.691137566137566
Filter approach,df_normalized_GLA_BRA_180,Mutal Information,Naive Bayes,49152,200,144,36,0.8055555555555556,0.8322723028605381,0.8055555555555556,0.7777176527176528
Filter approach,df_normalized_GLA_BRA_180,Mutal Information,SVM,49152,200,144,36,0.7222222222222222,0.621653038319705,0.7222222222222222,0.6669389978213507
Filter approach,df_normalized_GLA_BRA_180,Mutal Information,kNN,49152,200,144,36,0.8055555555555556,0.8320279866332498,0.8055555555555556,0.7921075837742505
Filter approach,df_normalized_GLA_BRA_180,Mutal Information,Random Forest,49152,200,144,36,0.7777777777777778,0.8029100529100529,0.7777777777777778,0.7486383442265795
Filter approach,df_normalized_GLA_BRA_180,Chi2,Naive Bayes,49152,200,144,36,0.8055555555555556,0.8322723028605381,0.8055555555555556,0.7777176527176528
Filter approach,df_normalized_GLA_BRA_180,Chi2,SVM,49152,200,144,36,0.7222222222222222,0.621653038319705,0.7222222222222222,0.6669389978213507
Filter approach,df_normalized_GLA_BRA_180,Chi2,kNN,49152,200,144,36,0.8055555555555556,0.8320279866332498,0.8055555555555556,0.7921075837742505
Filter approach,df_normalized_GLA_BRA_180,Chi2,Random Forest,49152,200,144,36,0.75,0.6640211640211641,0.75,0.7023420479302831
Filter approach,df_normalized_GLA_BRA_180,ANOVA,Naive Bayes,49152,200,144,36,0.8055555555555556,0.8322723028605381,0.8055555555555556,0.7777176527176528
Filter approach,df_normalized_GLA_BRA_180,ANOVA,SVM,49152,200,144,36,0.7222222222222222,0.621653038319705,0.7222222222222222,0.6669389978213507
Filter approach,df_normalized_GLA_BRA_180,ANOVA,kNN,49152,200,144,36,0.8055555555555556,0.8320279866332498,0.8055555555555556,0.7921075837742505
Filter approach,df_normalized_GLA_BRA_180,ANOVA,Random Forest,49152,200,144,36,0.75,0.7797619047619047,0.75,0.7175925925925926
