Method,Dataset,Feature Selection method,Classification method,No. genes,No. selected genes,Train set,Test set,Accuracy,Precision,Sensitivity,F-measure
Filter approach,df_normalized_GLA_BRA_180,Mutal Information,Naive Bayes,49152,100,144,36,0.8055555555555556,0.8322723028605381,0.8055555555555556,0.7777176527176528
Filter approach,df_normalized_GLA_BRA_180,Mutal Information,SVM,49152,100,144,36,0.75,0.6445279866332498,0.75,0.691137566137566
Filter approach,df_normalized_GLA_BRA_180,Mutal Information,kNN,49152,100,144,36,0.7777777777777778,0.7807713728766361,0.7777777777777778,0.7622159975101152
Filter approach,df_normalized_GLA_BRA_180,Mutal Information,Random Forest,49152,100,144,36,0.7777777777777778,0.7552521008403361,0.7777777777777778,0.753908128908129
Filter approach,df_normalized_GLA_BRA_180,Chi2,Naive Bayes,49152,100,144,36,0.8055555555555556,0.8322723028605381,0.8055555555555556,0.7777176527176528
Filter approach,df_normalized_GLA_BRA_180,Chi2,SVM,49152,100,144,36,0.75,0.6445279866332498,0.75,0.691137566137566
Filter approach,df_normalized_GLA_BRA_180,Chi2,kNN,49152,100,144,36,0.7777777777777778,0.7807713728766361,0.7777777777777778,0.7622159975101152
Filter approach,df_normalized_GLA_BRA_180,Chi2,Random Forest,49152,100,144,36,0.75,0.6445279866332498,0.75,0.691137566137566
Filter approach,df_normalized_GLA_BRA_180,ANOVA,Naive Bayes,49152,100,144,36,0.8055555555555556,0.8322723028605381,0.8055555555555556,0.7777176527176528
Filter approach,df_normalized_GLA_BRA_180,ANOVA,SVM,49152,100,144,36,0.75,0.6445279866332498,0.75,0.691137566137566
Filter approach,df_normalized_GLA_BRA_180,ANOVA,kNN,49152,100,144,36,0.7777777777777778,0.7807713728766361,0.7777777777777778,0.7622159975101152
Filter approach,df_normalized_GLA_BRA_180,ANOVA,Random Forest,49152,100,144,36,0.7777777777777778,0.7552521008403361,0.7777777777777778,0.753908128908129
Filter approach,df_normalized_GLA_BRA_180,Mutal Information,Naive Bayes,49152,50,144,36,0.8055555555555556,0.8322723028605381,0.8055555555555556,0.7777176527176528
Filter approach,df_normalized_GLA_BRA_180,Mutal Information,SVM,49152,50,144,36,0.75,0.6445279866332498,0.75,0.691137566137566
Filter approach,df_normalized_GLA_BRA_180,Mutal Information,kNN,49152,50,144,36,0.8055555555555556,0.8000051872600893,0.8055555555555556,0.7939039517986886
Filter approach,df_normalized_GLA_BRA_180,Mutal Information,Random Forest,49152,50,144,36,0.7777777777777778,0.7552521008403361,0.7777777777777778,0.753908128908129
Filter approach,df_normalized_GLA_BRA_180,Chi2,Naive Bayes,49152,50,144,36,0.8055555555555556,0.8322723028605381,0.8055555555555556,0.7777176527176528
Filter approach,df_normalized_GLA_BRA_180,Chi2,SVM,49152,50,144,36,0.75,0.6445279866332498,0.75,0.691137566137566
Filter approach,df_normalized_GLA_BRA_180,Chi2,kNN,49152,50,144,36,0.8055555555555556,0.8000051872600893,0.8055555555555556,0.7939039517986886
Filter approach,df_normalized_GLA_BRA_180,Chi2,Random Forest,49152,50,144,36,0.7777777777777778,0.7552521008403361,0.7777777777777778,0.753908128908129
Filter approach,df_normalized_GLA_BRA_180,ANOVA,Naive Bayes,49152,50,144,36,0.8055555555555556,0.8322723028605381,0.8055555555555556,0.7777176527176528
Filter approach,df_normalized_GLA_BRA_180,ANOVA,SVM,49152,50,144,36,0.75,0.6445279866332498,0.75,0.691137566137566
Filter approach,df_normalized_GLA_BRA_180,ANOVA,kNN,49152,50,144,36,0.8055555555555556,0.8000051872600893,0.8055555555555556,0.7939039517986886
Filter approach,df_normalized_GLA_BRA_180,ANOVA,Random Forest,49152,50,144,36,0.75,0.6445279866332498,0.75,0.691137566137566
Filter approach,df_normalized_GLA_BRA_180,Mutal Information,Naive Bayes,49152,20,144,36,0.7777777777777778,0.75,0.7777777777777778,0.7525464731347085
Filter approach,df_normalized_GLA_BRA_180,Mutal Information,SVM,49152,20,144,36,0.7777777777777778,0.6715969215969216,0.7777777777777778,0.7195378151260504
Filter approach,df_normalized_GLA_BRA_180,Mutal Information,kNN,49152,20,144,36,0.7777777777777778,0.7675438596491229,0.7777777777777778,0.7618446368446369
Filter approach,df_normalized_GLA_BRA_180,Mutal Information,Random Forest,49152,20,144,36,0.75,0.6805555555555556,0.75,0.7128639334521688
Filter approach,df_normalized_GLA_BRA_180,Chi2,Naive Bayes,49152,20,144,36,0.7777777777777778,0.75,0.7777777777777778,0.7525464731347085
Filter approach,df_normalized_GLA_BRA_180,Chi2,SVM,49152,20,144,36,0.7777777777777778,0.6715969215969216,0.7777777777777778,0.7195378151260504
Filter approach,df_normalized_GLA_BRA_180,Chi2,kNN,49152,20,144,36,0.7777777777777778,0.7675438596491229,0.7777777777777778,0.7618446368446369
Filter approach,df_normalized_GLA_BRA_180,Chi2,Random Forest,49152,20,144,36,0.75,0.6805555555555556,0.75,0.7128639334521688
Filter approach,df_normalized_GLA_BRA_180,ANOVA,Naive Bayes,49152,20,144,36,0.7777777777777778,0.75,0.7777777777777778,0.7525464731347085
Filter approach,df_normalized_GLA_BRA_180,ANOVA,SVM,49152,20,144,36,0.7777777777777778,0.6715969215969216,0.7777777777777778,0.7195378151260504
Filter approach,df_normalized_GLA_BRA_180,ANOVA,kNN,49152,20,144,36,0.7777777777777778,0.7675438596491229,0.7777777777777778,0.7618446368446369
Filter approach,df_normalized_GLA_BRA_180,ANOVA,Random Forest,49152,20,144,36,0.75,0.6805555555555556,0.75,0.7128639334521688
Filter approach,df_normalized_GLA_BRA_180,Mutal Information,Naive Bayes,49152,10,144,36,0.8333333333333334,0.855119825708061,0.8333333333333334,0.8038720538720538
Filter approach,df_normalized_GLA_BRA_180,Mutal Information,SVM,49152,10,144,36,0.7777777777777778,0.6715969215969216,0.7777777777777778,0.7195378151260504
Filter approach,df_normalized_GLA_BRA_180,Mutal Information,kNN,49152,10,144,36,0.8055555555555556,0.827729044834308,0.8055555555555556,0.7757335257335257
Filter approach,df_normalized_GLA_BRA_180,Mutal Information,Random Forest,49152,10,144,36,0.7777777777777778,0.7999512670565303,0.7777777777777778,0.7479557479557479
Filter approach,df_normalized_GLA_BRA_180,Chi2,Naive Bayes,49152,10,144,36,0.8333333333333334,0.855119825708061,0.8333333333333334,0.8038720538720538
Filter approach,df_normalized_GLA_BRA_180,Chi2,SVM,49152,10,144,36,0.7777777777777778,0.6715969215969216,0.7777777777777778,0.7195378151260504
Filter approach,df_normalized_GLA_BRA_180,Chi2,kNN,49152,10,144,36,0.8055555555555556,0.827729044834308,0.8055555555555556,0.7757335257335257
Filter approach,df_normalized_GLA_BRA_180,Chi2,Random Forest,49152,10,144,36,0.8055555555555556,0.7793622499504853,0.8055555555555556,0.7816257816257816
Filter approach,df_normalized_GLA_BRA_180,ANOVA,Naive Bayes,49152,10,144,36,0.8333333333333334,0.855119825708061,0.8333333333333334,0.8038720538720538
Filter approach,df_normalized_GLA_BRA_180,ANOVA,SVM,49152,10,144,36,0.7777777777777778,0.6715969215969216,0.7777777777777778,0.7195378151260504
Filter approach,df_normalized_GLA_BRA_180,ANOVA,kNN,49152,10,144,36,0.8055555555555556,0.827729044834308,0.8055555555555556,0.7757335257335257
Filter approach,df_normalized_GLA_BRA_180,ANOVA,Random Forest,49152,10,144,36,0.8055555555555556,0.8322723028605381,0.8055555555555556,0.7777176527176528
