Method,Dataset,Feature Selection method,Classification method,No. genes,No. selected genes,Lambda,Accuracy,Precision,Sensitivity,F-measure,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,200,1.00E-10,0.75,0.751960784,0.75,0.717572965,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,200,1.00E-10,0.8,0.802083333,0.8,0.787619048,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,500,1.00E-10,0.75,0.861587302,0.75,0.766889848,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,500,1.00E-10,0.9,0.905,0.9,0.893390805,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,500,1.00E-10,0.8,0.783333333,0.8,0.786781609,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,500,1.00E-10,0.8,0.715416667,0.8,0.752698413,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,1000,1.00E-10,0.75,0.861587302,0.75,0.766889848,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,1000,1.00E-10,0.9,0.91474359,0.9,0.903148148,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,1000,1.00E-10,0.825,0.808448276,0.825,0.81125731,,,0.821069051
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,1000,1.00E-10,0.825,0.833763441,0.825,0.802980899,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,10,1.00E-08,0.575,0.660357143,0.575,0.593434343,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,10,1.00E-08,0.7,0.49,0.7,0.576470588,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,10,1.00E-08,0.7,0.547368421,0.7,0.606060606,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,10,1.00E-08,0.7,0.698039216,0.7,0.666420891,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,20,1.00E-08,0.55,0.685042017,0.55,0.574776335,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,20,1.00E-08,0.7,0.49,0.7,0.576470588,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,20,1.00E-08,0.675,0.541891892,0.675,0.593333333,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,20,1.00E-08,0.65,0.586111111,0.65,0.586875,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,50,1.00E-08,0.625,0.78375,0.625,0.644415584,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,50,1.00E-08,0.7,0.49,0.7,0.576470588,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,50,1.00E-08,0.7,0.605555556,0.7,0.635416667,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,50,1.00E-08,0.65,0.586111111,0.65,0.586875,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,100,1.00E-08,0.75,0.815808081,0.75,0.763205128,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,100,1.00E-08,0.8,0.644444444,0.8,0.7125,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,100,1.00E-08,0.8,0.79375,0.8,0.781666667,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,100,1.00E-08,0.875,0.889677419,0.875,0.855281141,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,200,1.00E-08,0.725,0.857142857,0.725,0.744362883,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,200,1.00E-08,0.875,0.893939394,0.875,0.849289617,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,200,1.00E-08,0.75,0.751960784,0.75,0.717572965,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,200,1.00E-08,0.875,0.889677419,0.875,0.862900188,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,500,1.00E-08,0.75,0.861587302,0.75,0.766889848,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,500,1.00E-08,0.9,0.905,0.9,0.893390805,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,500,1.00E-08,0.8,0.783333333,0.8,0.786781609,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,500,1.00E-08,0.825,0.833763441,0.825,0.802980899,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,1000,1.00E-08,0.75,0.861587302,0.75,0.766889848,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,1000,1.00E-08,0.9,0.91474359,0.9,0.903148148,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,1000,1.00E-08,0.825,0.808448276,0.825,0.81125731,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,1000,1.00E-08,0.85,0.853333333,0.85,0.84028462,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,10,0.0001,0.575,0.660357143,0.575,0.593434343,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,10,0.0001,0.7,0.49,0.7,0.576470588,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,10,0.0001,0.7,0.547368421,0.7,0.606060606,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,10,0.0001,0.725,0.73030303,0.725,0.699484778,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,20,0.0001,0.55,0.685042017,0.55,0.574776335,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,20,0.0001,0.7,0.49,0.7,0.576470588,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,20,0.0001,0.675,0.541891892,0.675,0.593333333,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,20,0.0001,0.725,0.75530303,0.725,0.705437158,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,50,0.0001,0.625,0.78375,0.625,0.644415584,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,50,0.0001,0.7,0.49,0.7,0.576470588,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,50,0.0001,0.7,0.605555556,0.7,0.635416667,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,50,0.0001,0.7,0.638888889,0.7,0.637321429,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,100,0.0001,0.75,0.815808081,0.75,0.763205128,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,100,0.0001,0.8,0.644444444,0.8,0.7125,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,100,0.0001,0.8,0.79375,0.8,0.781666667,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,100,0.0001,0.875,0.857586207,0.875,0.860818713,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,200,0.0001,0.725,0.857142857,0.725,0.744362883,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,200,0.0001,0.875,0.893939394,0.875,0.849289617,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,200,0.0001,0.75,0.751960784,0.75,0.717572965,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,200,0.0001,0.85,0.853333333,0.85,0.84028462,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,500,0.0001,0.75,0.861587302,0.75,0.766889848,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,500,0.0001,0.9,0.905,0.9,0.893390805,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,500,0.0001,0.8,0.783333333,0.8,0.786781609,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,500,0.0001,0.8,0.810416667,0.8,0.778809524,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,1000,0.0001,0.75,0.861587302,0.75,0.766889848,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,1000,0.0001,0.9,0.91474359,0.9,0.903148148,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,1000,0.0001,0.825,0.808448276,0.825,0.81125731,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,1000,0.0001,0.85,0.856666667,0.85,0.844252874,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,10,0.001,0.575,0.660357143,0.575,0.593434343,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,10,0.001,0.7,0.49,0.7,0.576470588,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,10,0.001,0.7,0.547368421,0.7,0.606060606,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,10,0.001,0.725,0.75530303,0.725,0.705437158,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,20,0.001,0.55,0.685042017,0.55,0.574776335,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,20,0.001,0.7,0.49,0.7,0.576470588,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,20,0.001,0.675,0.541891892,0.675,0.593333333,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,20,0.001,0.7,0.705555556,0.7,0.64875,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,50,0.001,0.625,0.78375,0.625,0.644415584,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,50,0.001,0.7,0.49,0.7,0.576470588,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,50,0.001,0.7,0.605555556,0.7,0.635416667,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,50,0.001,0.675,0.591891892,0.675,0.6,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,100,0.001,0.75,0.815808081,0.75,0.763205128,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,100,0.001,0.8,0.644444444,0.8,0.7125,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,100,0.001,0.8,0.79375,0.8,0.781666667,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,100,0.001,0.8,0.79375,0.8,0.781666667,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,200,0.001,0.725,0.857142857,0.725,0.744362883,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,200,0.001,0.875,0.893939394,0.875,0.849289617,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,200,0.001,0.75,0.751960784,0.75,0.717572965,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,200,0.001,0.875,0.889677419,0.875,0.862900188,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,500,0.001,0.75,0.861587302,0.75,0.766889848,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,500,0.001,0.9,0.905,0.9,0.893390805,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,500,0.001,0.8,0.783333333,0.8,0.786781609,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,500,0.001,0.8,0.810416667,0.8,0.778809524,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,1000,0.001,0.75,0.861587302,0.75,0.766889848,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,1000,0.001,0.9,0.91474359,0.9,0.903148148,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,1000,0.001,0.825,0.808448276,0.825,0.81125731,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,1000,0.001,0.9,0.905,0.9,0.899603175,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,10,0.01,0.525,0.592424242,0.525,0.542725275,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,10,0.01,0.7,0.49,0.7,0.576470588,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,10,0.01,0.7,0.638888889,0.7,0.637321429,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,10,0.01,0.7,0.716666667,0.7,0.682142857,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,20,0.01,0.55,0.685042017,0.55,0.574776335,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,20,0.01,0.7,0.49,0.7,0.576470588,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,20,0.01,0.675,0.541891892,0.675,0.593333333,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,20,0.01,0.75,0.725,0.75,0.697291667,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,50,0.01,0.625,0.78375,0.625,0.644415584,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,50,0.01,0.7,0.49,0.7,0.576470588,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,50,0.01,0.7,0.605555556,0.7,0.635416667,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,50,0.01,0.725,0.610810811,0.725,0.648205128,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,100,0.01,0.75,0.815808081,0.75,0.763205128,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,100,0.01,0.8,0.644444444,0.8,0.7125,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,100,0.01,0.8,0.79375,0.8,0.781666667,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,100,0.01,0.9,0.88,0.9,0.885057471,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,200,0.01,0.725,0.857142857,0.725,0.744362883,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,200,0.01,0.875,0.893939394,0.875,0.849289617,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,200,0.01,0.75,0.751960784,0.75,0.717572965,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,200,0.01,0.875,0.874252874,0.875,0.870342523,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,500,0.01,0.75,0.861587302,0.75,0.766889848,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,500,0.01,0.9,0.905,0.9,0.893390805,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,500,0.01,0.8,0.783333333,0.8,0.786781609,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,500,0.01,0.8,0.715416667,0.8,0.752698413,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,1000,0.01,0.75,0.861587302,0.75,0.766889848,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,1000,0.01,0.9,0.91474359,0.9,0.903148148,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,1000,0.01,0.8,0.783333333,0.8,0.786781609,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,1000,0.01,0.85,0.853333333,0.85,0.84028462,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,10,1,0.65,0.678461538,0.65,0.66010582,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,10,1,0.7,0.49,0.7,0.576470588,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,10,1,0.75,0.675,0.75,0.690625,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,10,1,0.775,0.79,0.775,0.74,,,
