Method,Dataset,Feature Selection method,Classification method,No. genes,No. selected genes,Lambda,Accuracy,Precision,Sensitivity,F-measure,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,200,5,0.65,0.852777778,0.65,0.674910555,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,200,5,0.85,0.765625,0.85,0.805,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,200,5,0.775,0.714516129,0.775,0.743220339,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,200,5,0.85,0.853333333,0.85,0.84028462,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,500,5,0.75,0.872142857,0.75,0.770827577,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,500,5,0.9,0.9,0.9,0.9,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,500,5,0.825,0.820114943,0.825,0.821177945,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,500,5,0.875,0.869252874,0.875,0.870739348,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,1000,5,0.75,0.861587302,0.75,0.766889848,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,1000,5,0.95,0.95,0.95,0.95,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,1000,5,0.75,0.688541667,0.75,0.71547619,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,1000,5,0.85,0.857291667,0.85,0.827142857,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,10,10,0.4,0.695793651,0.4,0.406869369,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,10,10,0.7,0.49,0.7,0.576470588,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,10,10,0.675,0.648039216,0.675,0.633087558,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,10,10,0.6,0.550107527,0.6,0.572827549,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,20,10,0.45,0.72469697,0.45,0.47040293,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,20,10,0.7,0.49,0.7,0.576470588,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,20,10,0.65,0.661458333,0.65,0.630238095,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,20,10,0.725,0.636666667,0.725,0.668253968,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,50,10,0.575,0.800213675,0.575,0.600263952,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,50,10,0.725,0.602564103,0.725,0.625074627,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,50,10,0.75,0.706875,0.75,0.716666667,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,50,10,0.775,0.69,0.775,0.719047619,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,100,10,0.6,0.828571429,0.6,0.627777778,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,100,10,0.775,0.62972973,0.775,0.688791209,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,100,10,0.8,0.74875,0.8,0.762222222,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,100,10,0.8,0.82254902,0.8,0.773486943,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,200,10,0.675,0.81533189,0.675,0.700270092,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,200,10,0.85,0.865625,0.85,0.830714286,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,200,10,0.825,0.762096774,0.825,0.791949153,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,200,10,0.825,0.837096774,0.825,0.806949153,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,500,10,0.75,0.872142857,0.75,0.770827577,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,500,10,0.925,0.926724138,0.925,0.92387218,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,500,10,0.825,0.812096774,0.825,0.810996772,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,500,10,0.8,0.802083333,0.8,0.787619048,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,1000,10,0.775,0.876587302,0.775,0.792599068,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,1000,10,0.95,0.95,0.95,0.95,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,1000,10,0.825,0.808448276,0.825,0.81125731,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,1000,10,0.85,0.853333333,0.85,0.84028462,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,10,20,0.5,0.570833333,0.5,0.518571429,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,10,20,0.7,0.49,0.7,0.576470588,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,10,20,0.7,0.597368421,0.7,0.612727273,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,10,20,0.7,0.675268817,0.7,0.681396287,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,20,20,0.6,0.753269231,0.6,0.619180036,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,20,20,0.7,0.49,0.7,0.576470588,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,20,20,0.75,0.775,0.75,0.703958333,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,20,20,0.8,0.818333333,0.8,0.785114943,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,50,20,0.6,0.77952381,0.6,0.620359408,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,50,20,0.775,0.62972973,0.775,0.688791209,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,50,20,0.825,0.847727273,0.825,0.801338798,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,50,20,0.75,0.6,0.75,0.665625,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,100,20,0.625,0.790113636,0.625,0.647272727,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,100,20,0.775,0.62972973,0.775,0.688791209,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,100,20,0.75,0.725,0.75,0.697291667,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,100,20,0.825,0.76,0.825,0.774603175,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,200,20,0.625,0.80094697,0.625,0.651759907,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,200,20,0.875,0.884677419,0.875,0.855677966,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,200,20,0.825,0.808448276,0.825,0.81125731,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,200,20,0.825,0.739393939,0.825,0.776814988,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,500,20,0.7,0.861363636,0.7,0.723888889,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,500,20,0.925,0.929074074,0.925,0.925707071,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,500,20,0.825,0.808448276,0.825,0.81125731,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,500,20,0.825,0.828763441,0.825,0.815758676,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,1000,20,0.75,0.86,0.75,0.765957447,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,1000,20,0.925,0.946666667,0.925,0.929266247,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,1000,20,0.825,0.808448276,0.825,0.81125731,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,1000,20,0.85,0.856666667,0.85,0.844252874,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,10,1.00E-15,0.4375,0.43125,0.4375,0.431818182,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,10,1.00E-15,0.3125,0.203125,0.3125,0.236111111,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,10,1.00E-15,0.4375,0.326704545,0.4375,0.359477124,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,10,1.00E-15,0.3125,0.285714286,0.3125,0.298076923,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,20,1.00E-15,0.375,0.371354167,0.375,0.358719406,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,20,1.00E-15,0.375,0.248397436,0.375,0.275493421,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,20,1.00E-15,0.375,0.248579545,0.375,0.29003268,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,20,1.00E-15,0.1875,0.145833333,0.1875,0.1625,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,50,1.00E-15,0.5625,0.559821429,0.5625,0.551767677,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,50,1.00E-15,0.3125,0.216666667,0.3125,0.254261364,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,50,1.00E-15,0.25,0.238839286,0.25,0.242521368,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,50,1.00E-15,0.1875,0.1875,0.1875,0.178125,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,100,1.00E-15,0.4375,0.43125,0.4375,0.431818182,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,100,1.00E-15,0.3125,0.216666667,0.3125,0.254261364,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,100,1.00E-15,0.375,0.397321429,0.375,0.36092033,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,100,1.00E-15,0.25,0.291666667,0.25,0.25625,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,200,1.00E-15,0.375,0.395833333,0.375,0.377272727,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,200,1.00E-15,0.375,0.40625,0.375,0.364285714,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,200,1.00E-15,0.625,0.630952381,0.625,0.614291958,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,200,1.00E-15,0.375,0.34469697,0.375,0.332720588,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,500,1.00E-15,0.4375,0.4609375,0.4375,0.433119658,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,500,1.00E-15,0.5,0.473214286,0.5,0.47847465,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,500,1.00E-15,0.6875,0.645833333,0.6875,0.637987013,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,500,1.00E-15,0.5,0.505208333,0.5,0.486458333,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,1000,1.00E-15,0.375,0.370138889,0.375,0.336038961,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,1000,1.00E-15,0.5625,0.535416667,0.5625,0.545454545,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,1000,1.00E-15,0.375,0.321428571,0.375,0.34375,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,1000,1.00E-15,0.375,0.358333333,0.375,0.34375,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,10,1.00E-10,0.4375,0.43125,0.4375,0.431818182,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,10,1.00E-10,0.3125,0.203125,0.3125,0.236111111,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,10,1.00E-10,0.4375,0.326704545,0.4375,0.359477124,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,10,1.00E-10,0.3125,0.25,0.3125,0.275,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,20,1.00E-10,0.375,0.371354167,0.375,0.358719406,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,20,1.00E-10,0.375,0.248397436,0.375,0.275493421,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,20,1.00E-10,0.375,0.248579545,0.375,0.29003268,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,20,1.00E-10,0.25,0.21875,0.25,0.232142857,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,50,1.00E-10,0.5625,0.559821429,0.5625,0.551767677,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,50,1.00E-10,0.3125,0.216666667,0.3125,0.254261364,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,50,1.00E-10,0.25,0.238839286,0.25,0.242521368,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,50,1.00E-10,0.125,0.131696429,0.125,0.127136752,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,100,1.00E-10,0.4375,0.43125,0.4375,0.431818182,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,100,1.00E-10,0.3125,0.216666667,0.3125,0.254261364,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,100,1.00E-10,0.375,0.397321429,0.375,0.36092033,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,100,1.00E-10,0.3125,0.328125,0.3125,0.31547619,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,200,1.00E-10,0.375,0.395833333,0.375,0.377272727,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,200,1.00E-10,0.375,0.40625,0.375,0.364285714,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,200,1.00E-10,0.625,0.630952381,0.625,0.614291958,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,200,1.00E-10,0.375,0.30625,0.375,0.326388889,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,500,1.00E-10,0.4375,0.4609375,0.4375,0.433119658,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,500,1.00E-10,0.5,0.473214286,0.5,0.47847465,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,500,1.00E-10,0.6875,0.645833333,0.6875,0.637987013,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,500,1.00E-10,0.375,0.30625,0.375,0.326388889,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,1000,1.00E-10,0.375,0.370138889,0.375,0.336038961,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,1000,1.00E-10,0.5625,0.535416667,0.5625,0.545454545,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,1000,1.00E-10,0.375,0.321428571,0.375,0.34375,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,1000,1.00E-10,0.5,0.4,0.5,0.4375,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,10,1.00E-08,0.4375,0.43125,0.4375,0.431818182,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,10,1.00E-08,0.3125,0.203125,0.3125,0.236111111,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,10,1.00E-08,0.4375,0.326704545,0.4375,0.359477124,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,10,1.00E-08,0.3125,0.25,0.3125,0.275,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,20,1.00E-08,0.375,0.371354167,0.375,0.358719406,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,20,1.00E-08,0.375,0.248397436,0.375,0.275493421,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,20,1.00E-08,0.375,0.248579545,0.375,0.29003268,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,20,1.00E-08,0.1875,0.161458333,0.1875,0.169444444,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,50,1.00E-08,0.5625,0.559821429,0.5625,0.551767677,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,50,1.00E-08,0.3125,0.216666667,0.3125,0.254261364,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,50,1.00E-08,0.25,0.238839286,0.25,0.242521368,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,50,1.00E-08,0.1875,0.15625,0.1875,0.169642857,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,100,1.00E-08,0.4375,0.43125,0.4375,0.431818182,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,100,1.00E-08,0.3125,0.216666667,0.3125,0.254261364,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,100,1.00E-08,0.375,0.397321429,0.375,0.36092033,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,100,1.00E-08,0.375,0.5,0.375,0.391071429,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,200,1.00E-08,0.375,0.395833333,0.375,0.377272727,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,200,1.00E-08,0.375,0.40625,0.375,0.364285714,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,200,1.00E-08,0.625,0.630952381,0.625,0.614291958,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,200,1.00E-08,0.3125,0.28125,0.3125,0.255952381,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,500,1.00E-08,0.4375,0.4609375,0.4375,0.433119658,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,500,1.00E-08,0.5,0.473214286,0.5,0.47847465,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,500,1.00E-08,0.6875,0.645833333,0.6875,0.637987013,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,500,1.00E-08,0.4375,0.384375,0.4375,0.395833333,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,1000,1.00E-08,0.375,0.370138889,0.375,0.336038961,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,1000,1.00E-08,0.5625,0.535416667,0.5625,0.545454545,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,1000,1.00E-08,0.375,0.321428571,0.375,0.34375,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,1000,1.00E-08,0.5,0.395833333,0.5,0.441558442,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,10,0.0001,0.4375,0.43125,0.4375,0.431818182,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,10,0.0001,0.3125,0.203125,0.3125,0.236111111,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,10,0.0001,0.4375,0.326704545,0.4375,0.359477124,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,10,0.0001,0.3125,0.265625,0.3125,0.285714286,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,20,0.0001,0.375,0.371354167,0.375,0.358719406,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,20,0.0001,0.375,0.248397436,0.375,0.275493421,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,20,0.0001,0.375,0.248579545,0.375,0.29003268,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,20,0.0001,0.25,0.21875,0.25,0.232142857,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,50,0.0001,0.5625,0.559821429,0.5625,0.551767677,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,50,0.0001,0.3125,0.216666667,0.3125,0.254261364,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,50,0.0001,0.25,0.238839286,0.25,0.242521368,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,50,0.0001,0.25,0.203125,0.25,0.219444444,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,100,0.0001,0.4375,0.43125,0.4375,0.431818182,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,100,0.0001,0.3125,0.216666667,0.3125,0.254261364,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,100,0.0001,0.375,0.397321429,0.375,0.36092033,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,100,0.0001,0.375,0.385416667,0.375,0.367013889,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,200,0.0001,0.375,0.395833333,0.375,0.377272727,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,200,0.0001,0.375,0.40625,0.375,0.364285714,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,200,0.0001,0.625,0.630952381,0.625,0.614291958,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,200,0.0001,0.375,0.34469697,0.375,0.332720588,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,500,0.0001,0.4375,0.4609375,0.4375,0.433119658,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,500,0.0001,0.5,0.473214286,0.5,0.47847465,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,500,0.0001,0.6875,0.645833333,0.6875,0.637987013,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,500,0.0001,0.3125,0.30625,0.3125,0.276785714,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,1000,0.0001,0.375,0.370138889,0.375,0.336038961,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,1000,0.0001,0.5625,0.535416667,0.5625,0.545454545,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,1000,0.0001,0.375,0.321428571,0.375,0.34375,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,1000,0.0001,0.3125,0.292613636,0.3125,0.265756303,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,10,0.001,0.4375,0.43125,0.4375,0.431818182,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,10,0.001,0.3125,0.203125,0.3125,0.236111111,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,10,0.001,0.4375,0.326704545,0.4375,0.359477124,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,10,0.001,0.3125,0.25,0.3125,0.275,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,20,0.001,0.375,0.371354167,0.375,0.358719406,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,20,0.001,0.375,0.248397436,0.375,0.275493421,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,20,0.001,0.375,0.248579545,0.375,0.29003268,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,20,0.001,0.25,0.21875,0.25,0.232142857,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,50,0.001,0.5625,0.559821429,0.5625,0.551767677,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,50,0.001,0.3125,0.216666667,0.3125,0.254261364,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,50,0.001,0.25,0.238839286,0.25,0.242521368,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,50,0.001,0.25,0.190625,0.25,0.210069444,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,100,0.001,0.4375,0.43125,0.4375,0.431818182,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,100,0.001,0.3125,0.216666667,0.3125,0.254261364,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,100,0.001,0.375,0.397321429,0.375,0.36092033,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,100,0.001,0.375,0.385416667,0.375,0.367013889,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,200,0.001,0.375,0.395833333,0.375,0.377272727,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,200,0.001,0.375,0.40625,0.375,0.364285714,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,200,0.001,0.625,0.630952381,0.625,0.614291958,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,200,0.001,0.375,0.411458333,0.375,0.375694444,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,500,0.001,0.4375,0.4609375,0.4375,0.433119658,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,500,0.001,0.5,0.473214286,0.5,0.47847465,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,500,0.001,0.6875,0.645833333,0.6875,0.637987013,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,500,0.001,0.4375,0.453125,0.4375,0.425694444,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,1000,0.001,0.375,0.370138889,0.375,0.336038961,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,1000,0.001,0.5625,0.535416667,0.5625,0.545454545,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,1000,0.001,0.375,0.321428571,0.375,0.34375,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,1000,0.001,0.375,0.34469697,0.375,0.332720588,,,
