Type,211650_x_at,214344_at,216042_at,208013_s_at,202110_at,216753_at,206633_at,205999_x_at,204457_s_at,206778_at,216518_at,207494_s_at,34031_i_at,203332_s_at,218425_at,219746_at,215790_at,203933_at,217633_at,219017_at,215242_at,204629_at,219924_s_at,207925_at,221604_s_at,203651_at,222188_at,201900_s_at,201555_at,206712_at,216920_s_at,201919_at,215267_s_at,222005_s_at,65718_at,207293_s_at,218971_s_at,210081_at,201479_at,219523_s_at,205343_at,209990_s_at,201862_s_at,218209_s_at,205834_s_at,201253_s_at,221396_at,204846_at,216344_at,207391_s_at,209789_at,202816_s_at,216729_at,207124_s_at
3.0,0.06622785760072539,0.5016247919473744,0.18073998140510636,0.5009775171065504,0.8090190029210007,0.6542372881355925,0.3676765147721572,0.06008285022301605,0.8369649080110396,0.3615274803711619,0.3548271410127668,0.16559557082584184,0.4906729143806161,0.049501638905612155,0.19427312076865735,0.2738551207327232,0.45308418726140304,0.255655233069481,0.4009882174078283,0.9067087524074474,0.19425413193953947,0.4666011787819247,0.6146088201945455,0.2734945408265798,0.8229737084343989,0.5605212808201872,0.3734386604550671,0.8447375005519338,0.5601239000785934,0.44200643493854996,0.005454781592276783,0.5451478207641358,0.47541340295909323,0.4030616536294052,0.38112447725747384,0.525654144130976,0.5552927744250531,0.4018051665110517,0.4198338848162436,0.31498275641844314,0.46636439344868813,0.42553191489361714,0.34379108637290423,0.6021040619650935,0.29425596237823315,0.7101160747517932,0.44922341696535134,0.4561520506835589,0.4082375478927232,0.5871768831318144,0.4536919831223641,0.4798217790623514,0.12526696471794305,0.23417285022797243
3.0,0.08799111958849944,0.552112229531586,0.19407824159057854,0.5954301075268832,0.03266708238975252,0.6899515738498809,0.5534551827741598,0.8617245120494472,0.3629149600509524,0.4582441113490343,0.48572658155214504,0.17828850159329251,0.648395563332246,0.0801725867951035,0.23730399074059402,0.3620316402997496,0.5820775567610987,0.4193139841688657,0.5637907006208046,0.651069976460518,0.41985096765079805,0.5816961362148011,0.27178329816033453,0.3075892558108389,0.4071127654856855,0.7717565637135325,0.48261427317534417,0.7068498594410029,0.4957158928048574,0.6361094994461738,0.02043859522538249,0.34119378839441233,0.5644038294168858,0.533097821515687,0.5333780783726583,0.6548750182721863,0.6417142391127061,0.5386710239651428,0.5850471959683858,0.47106910205645725,0.5856389377255462,0.6060322656067327,0.8196017918579102,0.5913062848299633,0.4367651998656343,0.5896181911035315,0.5886499402628435,0.6480493497832612,0.552490421455938,0.5876048313436937,0.5254219409282725,0.5627127346810328,0.3992311416123245,0.45063793918185424
1.0,0.03295758352746204,0.21090592058334168,0.16830762629031873,0.3146383186705772,0.44519566335182237,0.528450363196124,0.2219579369053557,0.08831329658407207,0.42194013079882564,0.16684511063525972,0.2137426481136125,0.15452263542983324,0.8275378866514421,0.0,0.1534936817237718,0.13763530391340667,0.2640144665461102,0.31451187335092307,0.132142404662358,0.8203866181610673,0.10617671987568875,0.24869024230517406,0.33293006450492857,0.03965436398955149,0.4785024625246083,0.7537066738178613,0.19282965363581223,0.6598030702206262,1.0,0.4499709900311188,0.00859104049718372,0.6526266696787076,0.2160574412532636,0.35082849692993656,0.11306727244565863,0.3869317351264442,0.8218561409231772,0.21763149704326393,0.3269897564334597,0.18891301571081986,0.32987878227074974,0.25099368716389864,0.7092009856793077,0.7023088406556041,0.17584816929795083,0.34244215738039707,0.2314217443249691,0.3604534844948316,0.20076628352490497,0.578950057804945,0.3547468354430377,0.832603168556261,0.1176979810348266,0.2611080601284818
2.0,0.0882725410797204,0.567726083855118,0.24041051803466243,0.579545454545455,0.17526010042994472,0.7290556900726392,0.5180270405608413,0.06605003890453601,0.31735544037158053,0.43593861527480215,0.5129106297518292,0.17851992950349924,0.981820338681455,0.05776306107431974,0.24275816143711046,0.43064113238967483,0.6033755274261593,0.35655233069481096,0.5129861902951989,0.7534916898494903,0.3197132363328155,0.573510150622133,0.0,0.2998191439480212,0.4677184188777875,0.7749642870035638,0.4702585915873353,0.5871318605301511,0.5755497680726146,0.6292525977108497,0.01681169458995351,0.6551844753583482,0.5526544821584005,0.5246866851711678,0.4077133563942388,0.6352872387077901,0.7968194421790898,0.5471521942110191,0.6932536272950524,0.44807765998211796,0.5652817618210422,0.61515080664017,0.5678520536297723,0.8260084568909589,0.4396204232448752,0.3687991759644756,0.5651135005973711,0.6571357119039685,0.5486590038314173,0.5898787054247224,0.5332278481012679,0.8390214411713549,0.27799071674687487,0.5962400541513939
3.0,0.12309063335470086,0.6308948244432119,0.20666555415166743,0.8101173020527893,0.2875490936142751,1.0,0.7372308462694059,0.07832962553014276,0.3417831307832912,0.56477516059957,0.6646105293358202,0.19030495077706455,0.26060974524748676,0.08876847949695633,0.34202723914318756,0.39650291423813455,0.8555354631303995,0.3750219876868945,0.7872798682376756,0.9084991796847139,0.4056363893205256,0.7146365422396849,0.45580408730137195,0.47223524683501866,0.5583648567838693,0.5969975297436398,0.608871784484506,0.5777121999322968,0.3830808586706944,0.7403344058230913,0.022579140030112032,0.580672899648029,0.6823324630113153,0.7371519892337454,0.47792864887190856,0.8701944160210493,0.5911352144837708,0.7334267040149413,0.0,0.5372333631370546,0.73156287591376,0.8871872808043053,0.6386682307371342,0.43987556958958257,0.6407457171649303,0.32099299742921616,0.7959378733572281,0.8626208736245409,0.7526819923371653,0.5039313749912175,0.6151898734177217,0.4057424906210398,0.2238687815018369,0.24745526762793918
1.0,0.11791560482168797,0.6651343425536967,0.21015805659522727,0.8011974584555221,0.025348168083407552,0.8709443099273597,0.7096895343014514,0.15002356190204827,0.334479419638465,0.5465738758029959,0.6546406541385728,0.20497391985473498,1.0,0.10686333534015627,1.0,0.4482098251457119,0.8752260397830011,0.3875813544415129,0.6746484226529853,0.0,0.3924812826670435,0.8035363457760313,0.4489195831321509,0.4455087413758457,0.7623210218301294,0.20117375855435843,0.5824724866653185,0.4979615265737457,0.767348322571697,0.7009863389419265,0.026369587909048427,0.3534071283348035,0.8442123585726707,0.7072924552107012,0.5238783623315613,0.8522145885104505,0.6476512803784047,0.6171023965141613,0.14358664984796118,0.6086345638012516,0.7710743036920519,0.8528173953705882,0.47569261291617787,0.844458078988299,0.5642425260329167,0.29499952392905604,0.7686977299880544,0.8040180060020011,0.835249042145595,0.5350374614367565,0.6639240506329122,0.2872487556832768,0.25174132186690223,0.2654440031162595
1.0,0.1527962352058284,0.9662360307521604,0.22063556392590628,1.0,0.2997801043683744,0.8813559322033871,0.8925888833249842,0.07632960361209438,0.41504548961531895,0.7054782298358322,0.7864725290489162,0.4044647784522812,0.6477727690619531,0.101679042076393,0.3533478143679345,0.4725228975853458,0.9576049829214376,0.6144591029023738,1.0,0.5673478850131967,0.6903340867354152,0.8804846103470845,0.030641197437163117,0.5360037510884863,0.5386848170072095,0.4600504365494801,0.7285801093781648,0.6498977083731964,0.8306930082754155,0.7987235613692706,0.02499386697836858,0.48567701691358134,0.9062228024369009,0.874505845739759,0.6526408178016424,0.9210641719046944,0.9038492904909475,0.8855431061313414,0.4375971188826529,0.6610039596372459,1.0,0.978255786766428,0.5738983931537796,0.5787968079535415,0.7183406113537123,0.6943624544486656,0.9377538829151739,0.979159719906636,0.9369731800766281,0.0,0.7257383966244706,0.5078468558745829,0.3592448102058832,0.3564924200819935
2.0,0.0807679679804882,0.495601173020529,0.19145588480701808,0.5520527859237531,0.4678963317907817,0.670460048426148,0.47421131697545965,0.047392300189591105,0.5024570088183055,0.3886509635974282,0.4315736623153055,0.176864329838179,0.3622512530027586,0.04883269783932017,0.1735028777092479,0.28717735220649543,0.526421539079766,0.3353737906772211,0.4476118079310783,0.8196733005207221,0.30032490464754924,0.5537000654878839,0.24701752863118243,0.2799249782302912,0.6156849043546037,0.6191782658697211,0.3886300722436032,0.8154482433804815,0.5421013699896751,0.5911176749828563,0.015609141328869392,0.4375596639145362,0.46127067014795226,0.4486500126167043,0.3825184573287217,0.5831018856892276,0.5272630892187246,0.4670868347338956,0.5460838619647415,0.41474006897432636,0.5420560747663553,0.54652794014496,0.5855423204402482,0.5902159555427026,0.38293584145112464,0.5206138718417013,0.5358422939068141,0.5574358119373112,0.5176245210727975,0.48688370667024344,0.48111814345991377,0.32939403224871333,0.1937295327049577,0.5411307934967243
2.0,1.0,0.4249821669176504,0.1867475624001712,0.5240713587487785,0.24474055597492575,0.6418886198547206,0.40773660490736113,0.12155749652050973,0.33897401111220427,0.3543897216274082,0.37756419452015383,0.17052676552792279,0.8294804116373553,0.0417753695899395,0.20784512692045473,0.3038301415487103,0.49226441631504764,0.3210202286719438,0.4326618522741648,0.3320992938155361,0.1722347789235768,0.4865749836280281,0.4884959881080907,0.2621742916471307,0.5199790366254345,0.68803086015461,0.3735061778407943,0.7806102173881054,0.7128338290363837,0.5845772456353184,0.014127595711214106,0.5589862053385998,0.44060052219320883,0.4388930944570605,0.3418348908048943,0.5611752667738635,0.639973087587669,0.49439775910364275,0.7991444397725824,0.36071018009963024,0.49847321180716025,0.5362403553892902,0.41056062478841765,0.8292520888208028,0.34413839435673366,0.5658838906248644,0.4896057347670286,0.6009503167722562,0.4494252873563223,0.5847113904484517,0.46972573839662296,0.7482132357203779,0.13977275963208713,0.2681962732601951
3.0,0.11661793905661291,0.5769992866767053,0.20454382911769584,0.7864125122189638,0.5461944927631355,0.7355932203389828,0.6850275413119669,0.06172670385428878,0.34129121120955247,0.5140078515346168,0.6091665471237988,0.18629946771580722,0.25028915448263567,0.08425312729948506,0.2960948772018837,0.3776852622814324,0.7195097448262016,0.36443271767810037,0.5929304446978345,0.7539161138454955,0.3641050995903377,0.7187295350360189,0.5762313714214413,0.38709893495880615,0.522633053597705,0.44560536752154395,0.5824724866653185,0.6228971343626287,0.0,0.7119046363204815,0.016542322659470657,0.40875337943699164,0.6603568320278476,0.7986373959121871,0.5224843822603135,0.8029527846806028,0.0,0.7187208216620006,0.10420284821118413,0.5190956699450763,0.6982511335245675,0.7921440261865778,0.722584810146513,0.3543179384569691,0.5646624118239842,0.38262254498870424,0.7592592592592629,0.7839279759919957,0.7254789272030662,0.9427443616226262,0.7100210970464117,0.5971560841083567,0.2157473588290572,0.4029297947611081
