Type,1007_s_at,215432_at,215431_at,215430_at,215429_s_at,215428_at,215427_s_at,215426_at,215425_at,215424_s_at,215423_at,215422_at,215421_at,215420_at,215419_at,215418_at,215417_at,215416_s_at,215433_at,215434_x_at
3.0,0.42055839601681116,0.3369386031924736,0.4338978123410144,0.3417230291606616,0.03721726266017858,0.09270817600306978,0.10539762546097778,0.37466635720088304,0.40607210626185936,0.5268719674782532,0.41427289048474,0.36841727135569996,0.3519639065817412,0.17093399859943906,0.388047717366367,0.4808771929824568,0.3110423243127282,0.5079781181250373,0.4233687405159333,0.5732582322357022
3.0,0.2662901196562898,0.4178762414056535,0.5474961843157202,0.3738773699966734,0.08487740494441331,0.35138566290978995,0.11887723841342919,0.5538470465359171,0.34964515548746866,0.6650128950474274,0.49618491921005503,0.5139737050075427,0.39723991507430984,0.20986519607843107,0.5077999541179159,0.5535672514619874,0.3247111465260964,0.4990433001508807,0.6176024279210913,0.7337377238590416
1.0,0.36025912144979505,0.0,0.35176975070862626,0.5269431200798319,0.015381491446266278,0.09047119478473128,0.08476202587253355,0.19565974236973518,0.8751225852874442,0.7449512610919263,0.29398563734290817,0.1959192470723453,0.0,0.15441176470588225,0.3388391832989239,0.4376023391812867,0.07565355971681655,0.4381516727496477,0.293854324734447,0.7699017908723286
2.0,0.2398372460315341,0.3709541232761048,0.5894323715386292,0.3639538751524571,0.03955240657611324,0.17370077518746968,0.08680824499138773,0.5444470233259835,0.41002965258314034,0.7675394501027242,0.5096499102333929,0.49163014584381,0.3979830148619957,0.20426295518207277,0.5153704978206037,0.5612865497076026,0.3243740231082784,0.501808036278733,0.5998482549317151,0.5778105141536687
3.0,0.20123136226142394,0.43395922962486466,0.610218765898685,0.4874154562590088,0.04031386654870084,0.5968943516224234,0.15826406631137235,0.6928165254729027,0.41185755154384907,0.12701621716134096,0.6048025134649911,0.6522020260076142,0.5061571125265407,0.23842349439775834,0.6906400550584997,0.9438011695906439,0.3336449170982868,0.04958823975656867,0.7795902883156282,0.9934835355285966
1.0,0.3250582220199696,0.42447026657553044,0.7018678683043829,0.4624681228517589,0.048414350257083356,0.09127944712274426,1.0,0.6654868283625384,0.356184971769116,0.9729313284084469,0.6518177737881499,0.6428622745886932,0.47181528662420424,0.23065476190476175,0.6822665749025018,0.6691812865497085,0.39874038432069675,0.8504598059627266,0.7435508345978737,0.9471346042749857
1.0,0.43637337045265934,0.623175586023884,0.8760811105458232,0.6188047455372008,0.05229417011740982,0.09676168394067913,0.16451832926786986,0.8805268654984341,0.7596399909475482,0.331085806705425,0.7307001795332136,0.8092535383289036,0.513535031847134,0.22417717086834654,1.0,0.8341520467836246,0.41386496674737216,0.3292649004947864,0.9452959028831551,0.6719179664933566
2.0,0.42893165939449107,0.3367375658397339,0.517624827385712,0.37193702184277566,0.03870392260665858,0.04017177403224024,0.11495820857562385,0.4611233607984222,0.40757504540733114,0.5686934475674265,0.4683572710951534,0.43135282707091027,0.37202760084925657,0.2021839985994397,0.47292957100252314,0.39380116959064215,0.4096815716080787,0.6025354653270066,0.4997723823975706,0.29521663778162893
2.0,0.3238429210054345,0.3337220055486317,0.4897158223708106,0.25640314890786187,0.03653557468471939,0.09467573977540371,0.06127096796568868,0.4143553440872701,0.41578028074206896,0.792509944485729,0.34111310592459554,0.39607730440405053,0.35971337579617985,0.19329919467787118,0.4253269098417052,0.5109941520467842,0.1415918354837722,0.5975623119262965,0.46874051593323296,0.4110629693818604
3.0,0.3349144738603204,0.420932009167304,0.6251181045134105,0.455261115422997,0.041851290493353344,0.5873994276920312,0.12370955249072292,0.6250435186259715,0.33467959542502984,0.11677667526336616,0.6561938958707364,0.6279905165600974,0.7331210191082811,0.2477897408963579,0.5641202110575833,0.6429239766081873,0.46451009837874274,0.0,0.7139605462822456,0.4772963604852689
2.0,0.08311159889712819,0.35764545052470786,0.5184969837924269,1.0,0.024439239120187445,0.30479277308111496,0.11462295233581145,0.4930950446791238,0.40654794027702806,0.5162499453599687,0.46566427289048534,0.4568575328687386,0.3667197452229302,0.20284051120448116,0.4761413168157837,0.5403508771929832,0.30626130129639306,0.5745509411060631,0.5551593323217003,0.46852108607741194
3.0,0.26706105950691955,0.39387238148848075,0.6025147176393649,0.421720811619914,0.04736281029493867,0.09328783172023025,0.11969803817296927,0.5588952071486589,0.4375874054860179,0.4769200507059494,0.5552064631956903,0.5349522235792794,0.4695859872611465,0.5593049719887948,0.5857994952970872,0.5923391812865484,0.32000674246835686,0.6097423232212552,0.6625189681335355,0.42436164067013293
3.0,0.29951013196991205,0.45317840054682285,0.6720691910749316,0.45343164430646554,0.04255473446802946,0.10075804272307545,0.12431070161038611,0.6676337472438206,0.4031532707785689,0.668400576998734,0.6818895870736078,0.6104605215891943,0.46236730360934164,0.2577030812324922,0.678251892635926,0.6338596491228076,0.7984921388948482,0.6061936832522737,0.7619878603945348,0.8420739456961294
1.0,0.5488502824102581,0.11398817900365928,0.17305036703248822,0.05128062978157336,0.0,0.09004665820314894,0.1032358007421881,0.15022629685505365,0.3778760394361946,0.6619858373038422,0.26413824057450735,0.10870033766793359,0.2977707006369439,0.0,0.18238128011011767,0.3977192982456126,0.10119832051242776,0.39081399563374086,0.2683611532625179,0.6363604852686306
2.0,0.23918408865808335,0.4087491455912521,0.6124718366160322,0.4938463244262116,0.04567309435576864,0.3747719136394622,0.1263453601692467,0.700707902982477,0.41073179789820624,0.7517484810071259,0.5847172351885104,0.612256627631294,0.4386942675159239,0.22953869047618983,0.6320256939665041,0.7400584795321642,0.5548132029789452,0.6884698702765575,0.7551593323216996,0.5810167533217793
2.0,0.2439649864817841,0.6903220618390911,0.7948252053201531,0.5967402151014523,0.04814602626674287,0.10301135227147493,0.1336285129651681,0.7886155274457459,0.35615015464605493,0.6612099488569307,0.6769524236983835,0.6762698469717654,0.5122611464968166,0.24531687675069996,0.7180545996788268,0.7101754385964907,0.34870820435808636,0.6835894366850142,1.0,0.5063951473136918
2.0,0.13705061969644272,0.36243013951992414,0.5383385420452077,0.36029493291939174,0.07610973726004923,0.0967657660231942,0.4471624605495889,0.5027851920622028,0.0,0.3707107575293971,0.5017953321364458,0.4891155973848685,0.28880042462845146,0.20702030812324884,0.4891030052764382,0.5438596491228074,0.32386833798155007,0.6077109164931692,0.5594081942336857,0.05783362218370883
1.0,0.5340096902856226,0.3592537493466288,0.5134820844538116,0.3379532098902325,0.03955965857585222,0.09074061223073548,0.08345568259326527,0.4798653823836597,0.40357107625530225,0.5693054159199203,0.46880610412926516,0.45951576981104914,0.37781316348195315,0.18500525210084046,0.46340903877035855,0.5331578947368425,0.30239970578319914,0.5467687146505735,0.5480273141122892,0.0
2.0,0.28734641432663255,0.8999638132765068,1.0,0.47072846213549324,0.052265162118454236,0.5551428116567948,0.24602027722222874,0.8793083439712202,0.3785781847512605,0.22457052935262573,1.0,1.0,0.5337579617834403,0.3351715686274504,0.994379444826794,0.7305847953216381,0.3632811302828774,0.5664843177086406,0.9755690440060681,0.8539052570768347
3.0,0.4881869529137781,1.0,0.8397412602660072,0.4601951435857648,0.35099678736411577,0.10639131659407342,0.13648397128356926,0.8173958454218401,0.28609810304707833,0.07857236525768371,0.8482944344703774,0.8213952151735043,0.5569002123142265,0.43124124649859946,0.9238357421426934,0.7557894736842101,0.36980906555518106,0.4151150147087337,0.9109256449165397,0.7858752166377818
3.0,0.25771341381802604,0.3924651200192995,0.5810015262737113,0.44938463244262067,0.04415017441059377,0.242230776452915,0.1254551970497455,0.6250435186259715,0.33230622820303024,0.3880972155439968,0.569232495511671,0.6347438752783957,0.42590233545647693,0.22249212184873932,0.601169993117687,0.6002923976608175,0.39313187655153436,0.40224381938181275,0.7146433990895305,0.5804852686308494
1.0,0.39482827850202074,0.38450404085079143,0.646558616178501,0.40059873600177404,0.04321466644427205,0.09839043486425028,0.1314435671263917,0.603748404317047,0.24014530346024174,0.6043515321064824,0.5467908438061054,0.5800704073568487,0.4055201698513799,0.2133009453781511,0.5986464785501244,0.5647953216374269,0.2505593183977444,0.6159882667296043,0.6946889226100134,0.7322761409589837
2.0,0.2955697727333565,0.3385066945438462,0.4496693073624549,0.32958199356913187,0.0339393587781829,0.18544900866626096,0.08777933203084361,0.42149239874666466,0.5786199652989339,0.4053634654893573,0.3871184919210047,0.4107335297075928,0.4513269639065823,0.18876925770308073,0.41431520991052745,0.6180701754385975,0.4459683103987253,0.7318711700397015,0.49286798179059227,0.6791276718659736
2.0,0.33108654335198234,0.40533151059466876,0.6348571843884008,0.43164430646413277,0.05378083006389014,0.09327966755519977,0.1277326273684702,0.6761053730996883,0.5756489041310517,0.5704419285745513,0.6049147217235197,0.5674258208204597,0.44617834394904443,0.22678133753501376,0.6080523055746718,1.0,0.6083851788286493,0.5639218793462407,0.7765553869499229,0.2353437319468516
1.0,0.45130497630966127,0.4019540830686355,0.6619667126971441,0.4125180175185712,0.2207871320516631,0.0936266445689934,0.1250274563299848,0.7351166299176038,0.3317259428186783,0.7799755212659001,0.5847172351885104,0.6218119117752718,0.44145435244161546,0.22599352240896303,0.6117228722184012,0.6325730994152047,0.6873333537650556,0.7470435024486455,0.7178300455235187,0.6045349508954366
3.0,0.5031346200176676,0.2773913393108453,0.326695254015553,0.1686439738330186,0.03319240280507357,0.3414947769754216,0.10463462850140468,0.3201810374840429,0.3649066610959269,0.0,0.3548025134649905,0.2913284000287357,0.3039278131634834,0.15252976190476114,0.27586602431750606,0.3943274853801167,0.3387937111158789,0.14519079208004249,0.31502276176024413,0.2864413633737724
1.0,0.4599673421313271,0.32736922520204276,0.3547496184315714,0.2053442732010211,0.035360750727012766,0.08991194948014683,0.09853065282482297,0.34635023790182307,0.33654231150879993,0.3381780827905754,0.33684919210054004,0.3135282707091026,0.31576433121019226,0.19953606442577038,0.3223216334021573,0.4326315789473672,0.28278525238284985,0.7591476520815593,0.4269347496206372,0.6882553437319473
1.0,0.3209893728083091,0.23453017570664716,0.3976306417617553,0.19519902428207223,0.01102303960317033,0.08804643777069307,0.09694685610570979,0.3348613206452367,0.42801849949805315,0.6763670935874468,0.2654847396768401,0.3118040089086842,0.3077494692144379,0.1580225840336127,0.307409956412021,0.4649707602339184,0.4548561095957583,0.8724934042499387,0.33854324734446173,0.2292894280762564
1.0,0.3354712637524432,0.5381769932853534,0.7288320372120061,0.507317884466127,0.04405589841398773,0.09970486543414973,0.12679622200899407,0.7665660902866442,0.457386742800109,0.5229597412248114,0.6869389587073608,0.7055104533371654,0.4353503184713372,0.22710959383753496,0.7494838265657247,0.6478362573099402,0.7397253976523953,0.4716319529320536,0.8969650986342934,0.7538243789716932
3.0,0.694836309125465,0.28177395360057866,0.4596991060396822,0.29559818161658863,0.03838483461814591,0.05781453466300355,0.10546698882093887,0.3968318440292464,0.32032913787000433,0.44722865760370706,0.40473518850987444,0.38968316689417154,0.32829087048832345,0.18634016106442589,0.4496444138563889,0.4915204678362576,0.30937203101535465,0.4773468648060888,0.4463581183611523,0.5253379549393414
3.0,0.30620231817330057,0.2658115877930124,0.4020641034958929,0.22912739771593232,0.03398287077661643,0.09297759344907398,0.10491208194124958,0.3990948125797854,0.3428558164905501,0.42309961970538235,0.3485188509874333,0.3646813707881315,0.3330679405520184,0.19034488795518217,0.32358339068593606,0.41859649122807047,0.3419044408348405,0.43799994942555953,0.4333839150227601,0.5193298671288274
