Type,214218_s_at,202605_at,213320_at,209218_at,202237_at,218104_at,214581_x_at,222250_s_at,219172_at,215427_s_at
3.0,9.86686,7.89446,7.45425,8.50336,2.84666,5.86216,8.20527,6.41753,2.79517,2.69892
3.0,9.56183,6.96271,7.45327,9.75031,3.00283,5.81848,8.2268,5.78439,2.62617,2.68657
3.0,10.29917,7.86378,7.48694,9.51752,3.02123,6.26688,6.47,6.68194,2.32853,2.65368
3.0,10.04191,8.32562,7.14754,8.78689,3.02658,6.10421,8.75355,6.33205,2.63153,2.74465
3.0,9.82697,7.61208,6.64958,8.88139,3.01133,6.18083,8.74422,6.00087,2.72769,2.71058
3.0,9.64468,7.77737,6.48671,9.78973,2.98001,6.13328,6.34031,6.46357,2.60472,2.6985
3.0,10.00347,7.53525,7.10032,9.60835,2.88935,6.12109,8.36099,6.30534,2.60159,2.70103
3.0,9.29635,7.21717,6.73688,9.17703,3.02442,6.31698,6.92623,6.51564,2.63967,2.71325
3.0,8.91419,7.53331,6.67839,9.6135,3.06089,6.18758,8.35981,6.28624,3.22339,2.71627
3.0,9.96986,8.01003,6.65527,9.2238,3.00367,6.42713,8.07425,6.09085,3.1048,2.69935
3.0,9.70342,7.12222,6.76098,9.46279,3.12274,5.87309,6.51999,5.9059,3.06362,2.71748
3.0,9.64762,7.27977,7.41076,9.64154,3.07741,5.95118,7.14183,6.25379,2.86883,2.71528
3.0,10.06617,7.64141,6.56128,9.00861,2.84722,5.69019,7.84446,5.70955,2.59808,2.69657
3.0,10.2073,7.16289,6.72127,9.22031,3.03565,6.17021,6.42872,6.30646,2.64373,2.70314
3.0,8.95318,7.75577,6.98237,9.79052,2.96973,6.25724,8.69774,6.2249,2.60636,2.69571
3.0,10.00371,6.83362,6.99061,9.89525,2.99075,6.33786,8.10913,6.1525,2.60911,2.69842
3.0,10.48391,7.97476,7.08163,9.58822,3.30901,6.17609,8.61195,5.79957,2.59755,2.69826
3.0,9.36451,7.7391,7.02366,9.44617,3.38498,6.1866,7.7781,6.33225,2.51856,2.71129
