Method,Dataset,Feature Selection method,Classification method,No. genes,No. selected genes,Iterations,Initialized particles,Accuracy,Precision,Sensitivity,F-measure
Hybrid approach,chi2_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,240.0,1000,100,0.6875,0.697916667,0.6875,0.679545455
Hybrid approach,chi2_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,489.0,1000,10,0.625,0.46875,0.625,0.534090909
Hybrid approach,chi2_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,248.0,1000,200,0.75,0.8125,0.75,0.728571429
Hybrid approach,chi2_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,481.0,1000,20,0.5625,0.447916667,0.5625,0.498376623
Hybrid approach,chi2_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,247.0,1000,500,0.5625,0.565104167,0.5625,0.522071678
Hybrid approach,chi2_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,244.0,1000,50,0.8125,0.854166667,0.8125,0.784090909
Hybrid approach,chi2_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,519.0,100,1000,0.75,0.747916667,0.75,0.744318182
Hybrid approach,chi2_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,252.0,100,100,0.75,0.736607143,0.75,0.728802448
Hybrid approach,chi2_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,363.0,100,10,0.6875,0.666666667,0.6875,0.672979798
Hybrid approach,chi2_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,501.0,100,200,0.5625,0.526041667,0.5625,0.541035354
Hybrid approach,chi2_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,352.0,100,20,0.75,0.747916667,0.75,0.744318182
Hybrid approach,chi2_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,243.0,100,500,0.625,0.610416667,0.625,0.613636364
Hybrid approach,chi2_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,255.0,100,50,0.5625,0.447916667,0.5625,0.498376623
Hybrid approach,chi2_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,347.0,200,1000,0.75,0.755208333,0.75,0.736607143
Hybrid approach,chi2_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,483.0,200,100,0.75,0.85,0.75,0.697916667
Hybrid approach,chi2_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,512.0,200,10,0.75,0.736607143,0.75,0.728802448
Hybrid approach,chi2_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,468.0,200,200,0.625,0.46875,0.625,0.534090909
Hybrid approach,chi2_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,247.0,200,20,0.5,0.453125,0.5,0.473214286
